Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Baseline corrected WE(1).Current (A);Current range
1;1;6.16032098444668;0.00292053222656249;0.00711669921874999;;1 A
1;2;6.17252098441588;0.00538330078125;0.007611083984375;;1 A
1;3;6.18472098438508;0.0078094482421875;0.00803527832031251;;1 A
1;4;6.19692098435428;0.0102264404296875;0.008526611328125;;1 A
1;5;6.20912098432348;0.012664794921875;0.0089569091796875;;1 A
1;6;6.22132098429267;0.0151214599609375;0.00939331054687501;;1 A
1;7;6.23352098426187;0.0175537109375;0.0097625732421875;;1 A
1;8;6.24572098423107;0.0200042724609375;0.0101837158203125;;1 A
1;9;6.25792098420027;0.0224609375;0.0106597900390625;;1 A
1;10;6.27012098416947;0.0248779296875;0.011090087890625;;1 A
1;11;6.28232098413866;0.0273193359375;0.0115447998046875;;1 A
1;12;6.29452098410786;0.0297607421875;0.0120574951171875;;1 A
1;13;6.30672098407706;0.03221435546875;0.0125701904296875;;1 A
1;14;6.31892098404626;0.0346466064453125;0.0130401611328125;;1 A
1;15;6.33112098401546;0.0370941162109375;0.0135711669921875;;1 A
1;16;6.34332098398465;0.0395355224609375;0.0141571044921875;;1 A
1;17;6.35552098395385;0.0419769287109375;0.0147125244140625;;1 A
1;18;6.36772098392305;0.0444061279296875;0.0152252197265625;;1 A
1;19;6.37992098389225;0.0468536376953125;0.0158111572265625;;1 A
1;20;6.39212098386145;0.0493072509765625;0.01641845703125;;1 A
1;21;6.40432098383064;0.051727294921875;0.0170745849609375;;1 A
1;22;6.41652098379984;0.05413818359375;0.0176666259765625;;1 A
1;23;6.42872098376904;0.05657958984375;0.018328857421875;;1 A
1;24;6.44092098373824;0.058990478515625;0.0190399169921875;;1 A
1;25;6.45312098370744;0.061431884765625;0.01968994140625;;1 A
1;26;6.46532098367663;0.063873291015625;0.02044677734375;;1 A
1;27;6.47752098364583;0.066314697265625;0.0212646484375;;1 A
1;28;6.48972098361503;0.06878662109375;0.0219940185546875;;1 A
1;29;6.50192098358423;0.071197509765625;0.022735595703125;;1 A
1;30;6.51412098355343;0.073699951171875;0.02354736328125;;1 A
1;31;6.52632098352262;0.07611083984375;0.02451171875;;1 A
1;32;6.53852098349182;0.07855224609375;0.0253875732421875;;1 A
1;33;6.55072098346102;0.08099365234375;0.02623291015625;;1 A
1;34;6.56292098343022;0.083404541015625;0.0271636962890625;;1 A
1;35;6.57512098339942;0.085906982421875;0.0281768798828125;;1 A
1;36;6.58732098336861;0.088287353515625;0.0291839599609375;;1 A
1;37;6.59952098333781;0.090728759765625;0.0301971435546875;;1 A
1;38;6.61172098330701;0.0931396484375;0.031304931640625;;1 A
1;39;6.62392098327621;0.095611572265625;0.03243408203125;;1 A
1;40;6.63612098324541;0.09808349609375;0.033502197265625;;1 A
1;41;6.6483209832146;0.100494384765625;0.0346099853515625;;1 A
1;42;6.6605209831838;0.102935791015625;0.03594970703125;;1 A
1;43;6.672720983153;0.10540771484375;0.0371795654296875;;1 A
1;44;6.6849209831222;0.107879638671875;0.038323974609375;;1 A
1;45;6.69712098309139;0.11029052734375;0.0396484375;;1 A
1;46;6.70932098306059;0.112701416015625;0.0411346435546875;;1 A
1;47;6.72152098302979;0.11505126953125;0.042572021484375;;1 A
1;48;6.73372098299899;0.1175537109375;0.043865966796875;;1 A
1;49;6.74592098296819;0.120025634765625;0.045318603515625;;1 A
1;50;6.75812098293738;0.122467041015625;0.04688720703125;;1 A
1;51;6.77032098290658;0.1248779296875;0.0484283447265625;;1 A
1;52;6.78252098287578;0.127349853515625;0.049896240234375;;1 A
1;53;6.79472098284498;0.1297607421875;0.05169677734375;;1 A
1;54;6.80692098281418;0.132232666015625;0.053375244140625;;1 A
1;55;6.81912098278337;0.134613037109375;0.054901123046875;;1 A
1;56;6.83132098275257;0.137054443359375;0.05670166015625;;1 A
1;57;6.84352098272177;0.139495849609375;0.05877685546875;;1 A
1;58;6.85572098269097;0.141998291015625;0.06060791015625;;1 A
1;59;6.86792098266017;0.1444091796875;0.062286376953125;;1 A
1;60;6.88012098262936;0.146820068359375;0.06427001953125;;1 A
1;61;6.89232098259856;0.149261474609375;0.06640625;;1 A
1;62;6.90452098256776;0.15167236328125;0.068511962890625;;1 A
1;63;6.91672098253696;0.154144287109375;0.0704345703125;;1 A
1;64;6.92892098250616;0.1566162109375;0.07257080078125;;1 A
1;65;6.94112098247535;0.15899658203125;0.074859619140625;;1 A
1;66;6.95332098244455;0.161529541015625;0.076995849609375;;1 A
1;67;6.96552098241375;0.1639404296875;0.079193115234375;;1 A
1;68;6.97772098238295;0.16632080078125;0.081756591796875;;1 A
1;69;6.98992098235215;0.16876220703125;0.08416748046875;;1 A
1;70;7.00212098232134;0.171295166015625;0.08624267578125;;1 A
1;71;7.01432098229054;0.173736572265625;0.088653564453125;;1 A
1;72;7.02652098225974;0.176055908203125;0.091400146484375;;1 A
1;73;7.03872098222894;0.178497314453125;0.093902587890625;;1 A
1;74;7.05092098219814;0.180938720703125;0.096221923828125;;1 A
1;75;7.06312098216733;0.1834716796875;0.098785400390625;;1 A
1;76;7.07532098213653;0.185882568359375;0.101593017578125;;1 A
1;77;7.08752098210573;0.18829345703125;0.104248046875;;1 A
1;78;7.09972098207493;0.1907958984375;0.106781005859375;;1 A
1;79;7.11192098204413;0.19317626953125;0.10955810546875;;1 A
1;80;7.12412098201332;0.195648193359375;0.1124267578125;;1 A
1;81;7.13632098198252;0.198028564453125;0.114837646484375;;1 A
1;82;7.14852098195172;0.200469970703125;0.1175537109375;;1 A
1;83;7.16072098192092;0.20294189453125;0.12078857421875;;1 A
1;84;7.17292098189012;0.20538330078125;0.123504638671875;;1 A
1;85;7.18512098185931;0.207794189453125;0.125946044921875;;1 A
1;86;7.19732098182851;0.210235595703125;0.1287841796875;;1 A
1;87;7.20952098179771;0.212738037109375;0.131927490234375;;1 A
1;88;7.22172098176691;0.215179443359375;0.134735107421875;;1 A
1;89;7.23392098173611;0.217559814453125;0.13714599609375;;1 A
1;90;7.2461209817053;0.22003173828125;0.14007568359375;;1 A
1;91;7.2583209816745;0.2225341796875;0.142852783203125;;1 A
1;92;7.2705209816437;0.224945068359375;0.145416259765625;;1 A
1;93;7.2827209816129;0.227264404296875;0.14794921875;;1 A
1;94;7.2949209815821;0.229766845703125;0.15087890625;;1 A
1;95;7.30712098155129;0.232269287109375;0.153472900390625;;1 A
1;96;7.31932098152049;0.23468017578125;0.155670166015625;;1 A
1;97;7.33152098148969;0.237091064453125;0.15814208984375;;1 A
1;98;7.34372098145889;0.239593505859375;0.1611328125;;1 A
1;99;7.35592098142808;0.24200439453125;0.163726806640625;;1 A
1;100;7.36812098139728;0.244415283203125;0.165496826171875;;1 A
1;101;7.38032098136648;0.24688720703125;0.167694091796875;;1 A
1;102;7.39252098133568;0.249298095703125;0.17034912109375;;1 A
1;103;7.40472098130488;0.251739501953125;0.172576904296875;;1 A
1;104;7.41692098127407;0.254241943359375;0.1744384765625;;1 A
1;105;7.42912098124327;0.2567138671875;0.17657470703125;;1 A
1;106;7.44132098121247;0.259063720703125;0.178741455078125;;1 A
