Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;0.0795605342285169;-0.279167330516966;0.290283098086498;-74.0928571264789;10.9524049723478
2;79433;0.0739286241587132;-0.223970290405501;0.235856168997813;-71.7328588233064;12.8834379674724
3;63096;0.0697011773108278;-0.179499884010779;0.192557686105745;-68.7784280713687;14.6394709630389
4;50119;0.0661609658809217;-0.143314702994774;0.157849223947338;-65.219679148991;16.4405049584917
5;39811;0.0637463505410553;-0.114623345214859;0.13115680872737;-60.9199193644811;18.2315379539698
6;31623;0.0617385465041294;-0.0917236224643779;0.110566138769654;-56.0557711797731;20.0025689494984
7;25119;0.0601534388282812;-0.0731870632376563;0.0947353283005895;-50.5827514290398;21.7636019450522
8;19953;0.058860271524657;-0.0580686671114662;0.082683140143917;-44.6121157042079;23.7446379400506
9;15849;0.0578562649144326;-0.0457003857030345;0.0737283706808656;-38.3050380461903;25.500671935617
10;12589;0.0571180968569687;-0.0354776448892788;0.0672394250083374;-31.8455702989716;27.2617059311708
11;10000;0.056507054969178;-0.0268673305632088;0.0625691674299925;-25.4296205473853;30.6837709225309
12;7943.3;0.0561481880332549;-0.0195750661346546;0.0594626120650098;-19.2201996665835;32.43480091811
13;6309.6;0.0559508347916321;-0.0132522018322546;0.0574988414429659;-13.3251986957941;34.2408329135502
14;5011.9;0.0559959869835904;-0.0076056587017077;0.0565101460142627;-7.73486942944174;36.0518669089778
15;3981.1;0.0561773668915123;-0.00238253804229894;0.0562278670979665;-2.42851568145962;37.8879029043422
16;3162.3;0.0565896953049769;0.00263494437782933;0.0566510065805046;2.66589577672516;39.7239338997067
17;2511.9;0.0572197293891253;0.00764007769439196;0.0577275343189113;7.6052493224283;41.5499688950964
18;1995.3;0.0581357981223688;0.0128408300025429;0.0595370299769734;12.4553095197431;43.3660018905114
19;1584.9;0.0593395902429913;0.0183420680485344;0.0621097289520987;17.1765559531157;45.0220348863303
20;1258.9;0.0609019636449642;0.0243178596912394;0.0655774921430772;21.7665872289226;46.768064881922
21;1000;0.0628208526190858;0.0312496760080337;0.0701641060257735;26.4476412739098;48.6740998771097
22;794.33;0.065327497845029;0.0389608444574034;0.0760633247730222;30.8115428610439;50.5901358722722
23;630.96;0.0684089903452319;0.0477964237261691;0.0834523102200624;34.9414722434585;52.3011688679522
24;501.19;0.0721001980046755;0.0577374416014323;0.0923691004340317;38.6875543104821;54.1272038633419
25;398.11;0.0765016208760614;0.0691869953917496;0.103147168298517;42.1257496818931;55.9232348588074
26;316.23;0.0818603351186476;0.0828215612994063;0.116449669307425;45.3344239961071;57.654266854437
27;251.19;0.0883403530904766;0.0991442286717398;0.1327915511735;48.2980453247444;59.4703008498519
28;199.53;0.0960572272198981;0.118550644070597;0.152581932451809;50.9834218659485;61.2463358453679
29;158.49;0.105203595665932;0.141353636537727;0.176206262951919;53.341233003124;63.0073658409217
30;125.89;0.116234246703111;0.168750999612869;0.20490802809305;55.4412613787346;64.8884008361725
31;100;0.129489036630853;0.201009789731088;0.239107394647933;57.2106617496324;66.7494368314739
32;79.433;0.145910191841567;0.240540011014375;0.281334820066835;58.7592399494594;68.6454708266868
33;63.096;0.164896757151221;0.28656992879777;0.330625565572519;60.0832134964191;70.5765078218114
34;50.119;0.188105806363706;0.341155730487067;0.389578011227411;61.1286191665981;72.7225468163932
35;39.811;0.215586856206133;0.405735657434443;0.459455238606117;62.0161438244625;74.6285818115809
36;31.623;0.248883155863856;0.482940910127389;0.543299869268734;62.7357265136019;76.6846188063899
37;25.119;0.289252857167264;0.573581982430255;0.642388905530012;63.2385518242592;78.7906578010727
38;19.953;0.337519373338132;0.679681012135385;0.758871270793636;63.5916961094397;81.2017027949854
39;15.849;0.395941444534771;0.80507614417453;0.897171792590031;63.8117542160331;83.6527477887971
40;12.589;0.466543893514118;0.953264050698961;1.06130841649838;63.9220755950767;86.3387977820155
41;10;0.551289883761473;1.12610917799602;1.25381115671564;63.9158121364646;89.0498497751707
