Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;0.114382747162761;-0.243659753155781;0.26917185617452;-64.8529324354414;12.4840689684808
2;79433;0.108537591992055;-0.191767563013966;0.220352461070326;-60.4907835503018;15.4241139610579
3;63096;0.104854637412818;-0.150281552125863;0.183245845509065;-55.095698368474;17.0541369569424
4;50119;0.102172192341199;-0.116080946277817;0.154641336571307;-48.646392967489;18.7791619525872
5;39811;0.100235964190634;-0.0874854346231412;0.133044916432106;-41.1142886598404;20.4091879484718
6;31623;0.099000808743762;-0.0632436205811881;0.117477298556514;-32.5712228443439;22.034210944369
7;25119;0.0981927063930413;-0.0420321300216466;0.106810615310214;-23.1737119084989;23.6692369402409
8;19953;0.0979903353713871;-0.0230370092534133;0.100661857828766;-13.2296934491901;25.2842629361634
9;15849;0.0983323782972791;-0.00523034720486058;0.098471382408711;-3.04472124215694;26.9092859320606
10;12589;0.0990817083721811;0.012165099928428;0.0998257210853925;6.99965584068021;28.524308927983
11;10000;0.100194305997821;0.0299314782975358;0.104569557460386;16.6326909168701;31.4693559205475
12;7943.3;0.102027042118443;0.0487475497518152;0.113074492836555;25.5380270630313;33.0093789166593
13;6309.6;0.104479819442787;0.0694829706961022;0.125474761954557;33.6253855448307;34.6344019125565
14;5011.9;0.107567301424684;0.0929609040175264;0.142170510344251;40.833954850851;36.2444279084916
15;3981.1;0.111452630886566;0.120333191317151;0.164017577911964;47.1941371374757;37.8544509044267
16;3162.3;0.116202794574855;0.152677870244062;0.191868761212628;52.7253160357402;39.4844759003113
17;2511.9;0.12229473594783;0.191623426374814;0.227322546123725;57.4538396966695;42.3845208929894
18;1995.3;0.12959572104073;0.238606480464848;0.27152919443752;61.4920311574711;45.1695628859578
19;1584.9;0.139409993813416;0.297266096985106;0.328332573455353;64.8746559072006;46.6395848822464
20;1258.9;0.150922205290025;0.367566103037628;0.39734412308712;67.677005036326;48.2296078782319
21;1000;0.165341727658512;0.453314508847711;0.482526611532404;69.9610875502115;49.8596348741165
22;794.33;0.183601259124556;0.559025220866905;0.588403449953698;71.8182122404992;51.5846598697613
23;630.96;0.206619740273974;0.688583022444487;0.718914665220893;73.2973333320324;53.1846838657216
24;501.19;0.23554454897339;0.847284930578527;0.879416276934045;74.4641108856952;54.8097078616188
25;398.11;0.272342253073258;1.04263466555574;1.0776165127853;75.3610885506285;56.3197308578063
26;316.23;0.318751675608763;1.28101966675676;1.32008106467784;76.0270539924297;57.9397568537162
27;251.19;0.377745619846867;1.57373248964201;1.61843310095547;76.5025516122124;59.599780849525
28;199.53;0.452762614366329;1.93107432924541;1.98344197042375;76.8046905044903;61.1248038456747
29;158.49;0.548884382020032;2.36625707603133;2.42908349273833;76.940453893976;62.7798298414962
30;125.89;0.67197884641425;2.89869207630164;2.97556235411765;76.9481598400179;64.4598548372545
31;100;0.829995988418994;3.54661202328739;3.64243739610145;76.8283983958826;66.0198778333158
