Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;0.0809479248771254;-0.228810940071507;0.242707669508649;-70.5174192215397;69.2234918252275
2;79433;0.0757687722484719;-0.181346272396128;0.196538488240883;-67.3242093242331;72.8755578160069
3;63096;0.0723674582094823;-0.143785101906075;0.160969576435553;-63.2837553182292;75.2315998100585
4;50119;0.0697762252234887;-0.112958421965461;0.132771708957014;-58.2957109195116;77.7476478037061
5;39811;0.0679717116593967;-0.0877183556363608;0.110971453543041;-52.2284023902999;80.4586957968613
6;31623;0.0668226817550615;-0.0668076620173791;0.0944909228506453;-44.9935600885946;83.1697477900166
7;25119;0.065966818198221;-0.0490918263943958;0.0822291221036357;-36.656242995578;86.0857997826542
8;19953;0.0656264965764937;-0.0338439243280984;0.0738393409154672;-27.2803924402361;89.1068587750268
9;15849;0.0658062482058485;-0.0203564222270465;0.0688828442271045;-17.1888643379654;92.2329137671343
10;12589;0.0664396142277723;-0.00809109361960969;0.0669304723925992;-6.94335664496735;95.3739747592039
11;10000;0.0675020328203701;0.00361515848870997;0.06759877074164;3.06562064306004;100.076060747332
12;7943.3;0.0692656297040676;0.0150455334560509;0.0708808545044299;12.2551274864939;103.482123738733
13;6309.6;0.0716813083466735;0.0264327804266351;0.0763996194190363;20.2416621387581;106.923185730045
14;5011.9;0.0748674417314933;0.0383485214639948;0.0841174353501877;27.1223843478093;110.724258720448
15;3981.1;0.0788685699199532;0.051176105094763;0.0940172593404465;32.9786650855863;114.415324711129
16;3162.3;0.0838228007757064;0.0653700176151641;0.106299111627946;37.949229823413;118.211394701545
17;2511.9;0.0898269851559984;0.0810508528126581;0.120988131665363;42.0599234582579;122.112467691696
18;1995.3;0.0970735419440054;0.0989551517422353;0.138619603959481;45.549944946063;126.06354068172
19;1584.9;0.105621933542035;0.119125278869336;0.159206862009322;48.4383329028585;129.999612671783
20;1258.9;0.115652971461047;0.142300550942532;0.183371362557838;50.8979508700207;133.54567866283
21;1000;0.12768004726155;0.169692249962755;0.212362082694001;53.0414215839946;136.901740654356
22;794.33;0.141897537450638;0.202555855929305;0.247313133306358;54.9873988698655;143.762869637034
23;630.96;0.158842931243282;0.240992781247955;0.288632287555607;56.6103626731561;147.513938627563
24;501.19;0.179331005338077;0.286961298817051;0.33838793786767;57.9974606556514;151.290007618029
25;398.11;0.204421568206737;0.341277004355672;0.397816755868934;59.078806129694;155.486084607435
26;316.23;0.234108525049545;0.405306271593023;0.468059798843599;59.9888857769692;161.53219759217
27;251.19;0.270494702457163;0.480852755660952;0.551712567089168;60.640886270354;167.173301577928
28;199.53;0.314311659816504;0.570835415261787;0.651647827291477;61.1620739155437;172.7294055639
29;158.49;0.36738255782699;0.672444548050205;0.766258190166961;61.3505073500339;178.330508549759
30;125.89;0.431335508799193;0.792323763033333;0.902123753494143;61.436436948111;184.166617535024
31;100;0.508060470712264;0.928853569779732;1.05872300248598;61.3224057016599;190.197728519797
32;79.433;0.602021226841298;1.0930073928043;1.24783601418309;61.154318269829;196.343842504279
33;63.096;0.71436243195233;1.28117576098833;1.4668759370611;60.8566847419286;202.934963487638
34;50.119;0.84650182996442;1.48898661311407;1.71278909447895;60.3813934056198;209.63608747072
35;39.811;1.0069963580746;1.73780873130336;2.00848720478118;59.9092828649576;216.197208454155
36;31.623;1.19512685992313;2.01412380702574;2.34201257924409;59.316246767869;223.258340436327
37;25.119;1.41676085958193;2.32253964252612;2.72055173160679;58.6165989878386;229.914463419522
38;19.953;1.68548041455555;2.6957291929249;3.17927666450057;57.9846883425569;237.285601400911
39;15.849;1.99050452360772;3.08685724136449;3.67298187949072;57.1847795725818;244.671736382263
40;12.589;2.34793625113461;3.52865569206094;4.23842136089678;56.3605575016662;252.1428773634
41;10;2.77922729513934;4.06540817836917;4.9245962286058;55.6423909577713;260.179023343111
