Time (s);WE(1).Potential (V);WE(1).Current (A);Corrected time (s);Index;Current range;Overload
142.325475640663;-0.10076904296875;-0.859832763671875;0;1;100 mA;Current overload
142.335475640637;-0.09893798828125;-0.738128662109375;0.00999999997475243;2;100 mA;Current overload
142.345475640612;-0.098907470703125;-0.642303466796875;0.0199999999495049;3;100 mA;Current overload
142.355475640587;-0.099029541015625;-0.5631103515625;0.0299999999242573;4;100 mA;Current overload
142.365475640562;-0.099029541015625;-0.500152587890625;0.0399999998990097;5;100 mA;Current overload
142.375475640536;-0.09918212890625;-0.450836181640625;0.0499999998737621;6;100 mA;Current overload
142.385475640511;-0.0992431640625;-0.41143798828125;0.0599999998485146;7;100 mA;Current overload
142.395475640486;-0.099212646484375;-0.37939453125;0.069999999823267;8;100 mA;Current overload
142.405475640461;-0.09930419921875;-0.352783203125;0.0799999997980194;9;100 mA;
142.415475640435;-0.09942626953125;-0.33013916015625;0.0899999997727718;10;100 mA;
142.42547564041;-0.099395751953125;-0.310699462890625;0.0999999997475243;11;100 mA;
142.435475640385;-0.0994873046875;-0.29364013671875;0.109999999722277;12;100 mA;
142.44547564036;-0.099456787109375;-0.278533935546875;0.119999999697029;13;100 mA;
142.455475640334;-0.099517822265625;-0.265106201171875;0.129999999671782;14;100 mA;
142.465475640309;-0.099517822265625;-0.253021240234375;0.139999999646534;15;100 mA;
142.475475640284;-0.099578857421875;-0.242095947265625;0.149999999621286;16;100 mA;
142.485475640259;-0.099578857421875;-0.232147216796875;0.159999999596039;17;100 mA;
142.495475640234;-0.099609375;-0.2230224609375;0.169999999570791;18;100 mA;
142.505475640208;-0.09954833984375;-0.21466064453125;0.179999999545544;19;100 mA;
142.515475640183;-0.099609375;-0.2069091796875;0.189999999520296;20;100 mA;
142.525475640158;-0.09967041015625;-0.19976806640625;0.199999999495049;21;100 mA;
142.535475640133;-0.099639892578125;-0.193115234375;0.209999999469801;22;100 mA;
142.545475640107;-0.099700927734375;-0.186920166015625;0.219999999444553;23;100 mA;
142.555475640082;-0.099639892578125;-0.181060791015625;0.229999999419306;24;100 mA;
142.565475640057;-0.099700927734375;-0.175567626953125;0.239999999394058;25;100 mA;
142.575475640032;-0.099700927734375;-0.17041015625;0.249999999368811;26;100 mA;
142.585475640006;-0.099639892578125;-0.165496826171875;0.259999999343563;27;100 mA;
142.595475639981;-0.09967041015625;-0.160888671875;0.269999999318316;28;100 mA;
142.605475639956;-0.099639892578125;-0.156494140625;0.279999999293068;29;100 mA;
142.615475639931;-0.099700927734375;-0.152313232421875;0.28999999926782;30;100 mA;
142.625475639905;-0.099761962890625;-0.14837646484375;0.299999999242573;31;100 mA;
142.63547563988;-0.09967041015625;-0.144561767578125;0.309999999217325;32;100 mA;
142.645475639855;-0.0997314453125;-0.141021728515625;0.319999999192078;33;100 mA;
142.65547563983;-0.099700927734375;-0.137603759765625;0.32999999916683;34;100 mA;
142.665475639804;-0.099700927734375;-0.134368896484375;0.339999999141583;35;100 mA;
142.675475639779;-0.0997314453125;-0.13128662109375;0.349999999116335;36;100 mA;
142.685475639754;-0.0997314453125;-0.1282958984375;0.359999999091087;37;100 mA;
142.695475639729;-0.099700927734375;-0.12542724609375;0.36999999906584;38;100 mA;
142.705475639703;-0.099761962890625;-0.122711181640625;0.379999999040592;39;100 mA;
142.715475639678;-0.099761962890625;-0.12005615234375;0.389999999015345;40;100 mA;
142.725475639653;-0.09967041015625;-0.117523193359375;0.399999998990097;41;100 mA;
142.735475639628;-0.099761962890625;-0.11505126953125;0.40999999896485;42;100 mA;
142.745475639602;-0.099761962890625;-0.112701416015625;0.419999998939602;43;100 mA;
142.755475639577;-0.0997314453125;-0.110443115234375;0.429999998914354;44;100 mA;
142.765475639552;-0.099761962890625;-0.108245849609375;0.439999998889107;45;100 mA;
142.775475639527;-0.099761962890625;-0.106170654296875;0.449999998863859;46;100 mA;
142.785475639501;-0.0997314453125;-0.1041259765625;0.459999998838612;47;100 mA;
142.795475639476;-0.09979248046875;-0.1021728515625;0.469999998813364;48;100 mA;
142.805475639451;-0.099761962890625;-0.10028076171875;0.479999998788116;49;100 mA;
142.815475639426;-0.099761962890625;-0.098419189453125;0.489999998762869;50;100 mA;
142.8254756394;-0.09979248046875;-0.09661865234375;0.499999998737621;51;100 mA;
142.835475639375;-0.0997314453125;-0.0948486328125;0.509999998712374;52;100 mA;
142.84547563935;-0.099822998046875;-0.0931396484375;0.519999998687126;53;100 mA;
142.855475639325;-0.09979248046875;-0.09149169921875;0.529999998661879;54;100 mA;
142.865475639299;-0.09979248046875;-0.089874267578125;0.539999998636631;55;100 mA;
142.875475639274;-0.099822998046875;-0.088287353515625;0.549999998611383;56;100 mA;
142.885475639249;-0.09979248046875;-0.0867919921875;0.559999998586136;57;100 mA;
142.895475639224;-0.099822998046875;-0.0853271484375;0.569999998560888;58;100 mA;
142.905475639198;-0.099761962890625;-0.08392333984375;0.579999998535641;59;100 mA;
142.915475639173;-0.09979248046875;-0.082550048828125;0.589999998510393;60;100 mA;
142.925475639148;-0.099853515625;-0.081207275390625;0.599999998485146;61;100 mA;
142.935475639123;-0.099853515625;-0.07989501953125;0.609999998459898;62;100 mA;
142.945475639097;-0.09979248046875;-0.078643798828125;0.61999999843465;63;100 mA;
142.955475639072;-0.0997314453125;-0.077423095703125;0.629999998409403;64;100 mA;
142.965475639047;-0.099853515625;-0.07623291015625;0.639999998384155;65;100 mA;
142.975475639022;-0.099822998046875;-0.0750732421875;0.649999998358908;66;100 mA;
142.985475638996;-0.09979248046875;-0.07391357421875;0.65999999833366;67;100 mA;
142.995475638971;-0.09979248046875;-0.07281494140625;0.669999998308413;68;100 mA;
143.005475638946;-0.099853515625;-0.07171630859375;0.679999998283165;69;100 mA;
143.015475638921;-0.099853515625;-0.070648193359375;0.689999998257917;70;100 mA;
143.025475638895;-0.099822998046875;-0.069671630859375;0.69999999823267;71;100 mA;
143.03547563887;-0.099761962890625;-0.068634033203125;0.709999998207422;72;100 mA;
143.045475638845;-0.099822998046875;-0.06768798828125;0.719999998182175;73;100 mA;
143.05547563882;-0.099853515625;-0.066680908203125;0.729999998156927;74;100 mA;
143.065475638794;-0.099761962890625;-0.06573486328125;0.73999999813168;75;100 mA;
143.075475638769;-0.099853515625;-0.0648193359375;0.749999998106432;76;100 mA;
143.085475638744;-0.099884033203125;-0.06390380859375;0.759999998081184;77;100 mA;
143.095475638719;-0.099822998046875;-0.063018798828125;0.769999998055937;78;100 mA;
143.105475638693;-0.09979248046875;-0.062103271484375;0.779999998030689;79;100 mA;
143.115475638668;-0.099761962890625;-0.061248779296875;0.789999998005442;80;100 mA;
143.125475638643;-0.09979248046875;-0.0604248046875;0.799999997980194;81;100 mA;
143.135475638618;-0.099822998046875;-0.05963134765625;0.809999997954947;82;100 mA;
143.145475638592;-0.099853515625;-0.058868408203125;0.819999997929699;83;100 mA;
143.155475638567;-0.09979248046875;-0.05810546875;0.829999997904451;84;100 mA;
143.165475638542;-0.099822998046875;-0.057373046875;0.839999997879204;85;100 mA;
143.175475638517;-0.099761962890625;-0.056640625;0.849999997853956;86;100 mA;
143.185475638491;-0.099853515625;-0.055908203125;0.859999997828709;87;100 mA;
143.195475638466;-0.099822998046875;-0.055206298828125;0.869999997803461;88;100 mA;
143.205475638441;-0.099822998046875;-0.054534912109375;0.879999997778214;89;100 mA;
143.215475638416;-0.099822998046875;-0.053863525390625;0.889999997752966;90;100 mA;
143.22547563839;-0.099853515625;-0.05322265625;0.899999997727718;91;100 mA;
143.235475638365;-0.099853515625;-0.052581787109375;0.909999997702471;92;100 mA;
143.24547563834;-0.099853515625;-0.05194091796875;0.919999997677223;93;100 mA;
143.255475638315;-0.099822998046875;-0.05133056640625;0.929999997651976;94;100 mA;
143.265475638289;-0.099853515625;-0.050750732421875;0.939999997626728;95;100 mA;
143.275475638264;-0.099853515625;-0.0501708984375;0.949999997601481;96;100 mA;
143.285475638239;-0.099884033203125;-0.04959716796875;0.959999997576233;97;100 mA;
143.295475638214;-0.099822998046875;-0.0490203857421875;0.969999997550985;98;100 mA;
143.305475638188;-0.09979248046875;-0.0484527587890625;0.979999997525738;99;100 mA;
143.315475638163;-0.099853515625;-0.04788818359375;0.98999999750049;100;100 mA;
143.325475638138;-0.099822998046875;-0.0473480224609375;0.999999997475243;101;100 mA;
143.335475638113;-0.099761962890625;-0.0467926025390625;1.00999999745;102;100 mA;
143.345475638087;-0.099822998046875;-0.046240234375;1.01999999742475;103;100 mA;
143.355475638062;-0.099853515625;-0.045703125;1.0299999973995;104;100 mA;
143.365475638037;-0.09979248046875;-0.045184326171875;1.03999999737425;105;100 mA;
143.375475638012;-0.09979248046875;-0.04471435546875;1.049999997349;106;100 mA;
143.385475637986;-0.099853515625;-0.044219970703125;1.05999999732376;107;100 mA;
143.395475637961;-0.09979248046875;-0.04376220703125;1.06999999729851;108;100 mA;
143.405475637936;-0.099822998046875;-0.043304443359375;1.07999999727326;109;100 mA;
143.415475637911;-0.099853515625;-0.042852783203125;1.08999999724801;110;100 mA;
143.425475637885;-0.099822998046875;-0.0424285888671875;1.09999999722277;111;100 mA;
143.43547563786;-0.099822998046875;-0.0419830322265625;1.10999999719752;112;100 mA;
143.445475637835;-0.09979248046875;-0.0415679931640625;1.11999999717227;113;100 mA;
143.45547563781;-0.099884033203125;-0.0411376953125;1.12999999714702;114;100 mA;
143.465475637784;-0.099822998046875;-0.0407318115234375;1.13999999712178;115;100 mA;
143.475475637759;-0.099853515625;-0.0403350830078125;1.14999999709653;116;100 mA;
143.485475637734;-0.099822998046875;-0.039935302734375;1.15999999707128;117;100 mA;
143.495475637709;-0.099853515625;-0.03955078125;1.16999999704603;118;100 mA;
143.505475637684;-0.099853515625;-0.0391876220703125;1.17999999702079;119;100 mA;
143.515475637658;-0.099884033203125;-0.038812255859375;1.18999999699554;120;100 mA;
143.525475637633;-0.099822998046875;-0.0384552001953125;1.19999999697029;121;100 mA;
143.535475637608;-0.09979248046875;-0.0380859375;1.20999999694504;122;100 mA;
143.545475637583;-0.099853515625;-0.037725830078125;1.2199999969198;123;100 mA;
143.555475637557;-0.099853515625;-0.0373809814453125;1.22999999689455;124;100 mA;
143.565475637532;-0.09979248046875;-0.0370025634765625;1.2399999968693;125;100 mA;
143.575475637507;-0.099822998046875;-0.036663818359375;1.24999999684405;126;100 mA;
143.585475637482;-0.099822998046875;-0.0362884521484375;1.25999999681881;127;100 mA;
143.595475637456;-0.099822998046875;-0.0359466552734375;1.26999999679356;128;100 mA;
143.605475637431;-0.09979248046875;-0.0356170654296875;1.27999999676831;129;100 mA;
143.615475637406;-0.099822998046875;-0.03529052734375;1.28999999674306;130;100 mA;
143.625475637381;-0.099853515625;-0.0349822998046875;1.29999999671782;131;100 mA;
143.635475637355;-0.09979248046875;-0.034649658203125;1.30999999669257;132;100 mA;
143.64547563733;-0.099822998046875;-0.0343597412109375;1.31999999666732;133;100 mA;
143.655475637305;-0.099853515625;-0.034063720703125;1.32999999664207;134;100 mA;
