Figure 13 data,,,,,,,
Voltammogram (top),,Residual gas analyzer data (bottom),,,,,
,,-0.5 V,,-0.8 V,,-0.9 V,
Potential (V),Current (A),Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity
-0.0276184,0.00304565,0.131,2.03E+00,0.087,2.50E+00,0.248,2.20E+00
-0.025177,0.0031488,0.446,2.34E+00,0.402,2.57E+00,0.563,2.11E+00
-0.0227356,0.00321594,0.762,2.24E+00,0.718,2.64E+00,0.879,2.00E+00
-0.0202942,0.00328186,1.078,2.31E+00,1.033,2.39E+00,1.195,1.90E+00
-0.0178528,0.00334534,1.393,2.36E+00,1.349,2.42E+00,1.51,1.92E+00
-0.0154114,0.00341095,1.709,2.59E+00,1.665,2.20E+00,1.826,2.12E+00
-0.01297,0.00347534,2.024,2.48E+00,1.98,2.21E+00,2.141,2.24E+00
-0.0105286,0.00354187,2.34,2.46E+00,2.296,2.16E+00,2.457,2.31E+00
-0.00808716,0.00360565,2.656,2.32E+00,2.611,2.09E+00,2.773,2.35E+00
-0.00564575,0.00366943,2.971,2.29E+00,2.927,2.29E+00,3.088,2.37E+00
-0.00320435,0.00373047,3.287,2.28E+00,3.243,2.23E+00,3.404,2.50E+00
-0.000762939,0.00379761,3.602,2.20E+00,3.558,2.39E+00,3.719,2.39E+00
0.00167847,0.003862,3.918,2.02E+00,3.874,2.50E+00,4.035,2.50E+00
0.00411987,0.00392548,4.234,2.09E+00,4.189,2.45E+00,4.351,2.26E+00
0.00656128,0.00398407,4.549,2.33E+00,4.505,2.68E+00,4.666,1.96E+00
0.00900269,0.00404419,4.865,2.30E+00,4.821,2.43E+00,4.982,2.04E+00
0.0114441,0.00410858,5.18,2.33E+00,5.136,2.38E+00,5.297,1.86E+00
0.0138855,0.00416443,5.496,2.44E+00,5.452,2.12E+00,5.613,1.96E+00
0.0163269,0.00424286,5.812,2.55E+00,5.767,2.21E+00,5.929,2.15E+00
0.0187683,0.00427063,6.127,2.50E+00,6.083,1.97E+00,6.244,2.11E+00
