"Figure 14 top (Exp. 2, 100 mV/s)",,,,,,,,,"Figure 14 bottom (Exp. 3, 700 mV/s)",,,,,,,,
E (V),iData (A),iRSModified (A),iRS (A),WE Area (m2),WE Area (cm^2),I [Data] (A),I [A = A(t)] (mA),I [A = A?] (mA),E (V),iData (A),iRSModified (A),iRS (A),A (m2),WE Area,I [Data],I [A = A(t)],I [A = A?]
-0.100708,2.89E-07,-1.10E-05,-1.10E-05,0.000104,1.04,2.89E-04,-1.10E-02,-1.10E-02,-0.100708,8.53E-06,-7.91E-05,-7.91E-05,0.000104,1.04,8.53E-03,-7.91E-02,-7.91E-02
-0.101776,-3.16E-07,-1.10E-05,-1.10E-05,0.000104,1.04,-3.16E-04,-1.10E-02,-1.10E-02,-0.101776,5.44E-06,-7.91E-05,-7.91E-05,0.000104,1.04,5.44E-03,-7.91E-02,-7.91E-02
-0.102844,-8.94E-07,-8.12E-06,-8.12E-06,0.000103896,1.038957723,-8.94E-04,-8.12E-03,-8.12E-03,-0.102844,-2.80E-06,-5.84E-05,-5.84E-05,0.000104,1.04,-2.80E-03,-5.84E-02,-5.84E-02
-0.103912,-1.15E-06,-6.91E-06,-6.92E-06,0.000103839,1.038393979,-1.15E-03,-6.91E-03,-6.92E-03,-0.103912,-2.43E-06,-4.97E-05,-4.97E-05,0.000104,1.04,-2.43E-03,-4.97E-02,-4.97E-02
-0.10498,-1.26E-06,-6.24E-06,-6.25E-06,0.000103805,1.038048788,-1.26E-03,-6.24E-03,-6.25E-03,-0.10498,-8.01E-06,-4.49E-05,-4.49E-05,0.000104,1.04,-8.01E-03,-4.49E-02,-4.49E-02
-0.106049,-1.73E-06,-5.81E-06,-5.82E-06,0.000103774,1.037743572,-1.73E-03,-5.81E-03,-5.82E-03,-0.106049,-5.37E-06,-4.18E-05,-4.18E-05,0.000104,1.04,-5.37E-03,-4.18E-02,-4.18E-02
-0.107117,-2.24E-06,-5.52E-06,-5.54E-06,0.000103751,1.037506103,-2.24E-03,-5.52E-03,-5.54E-03,-0.107117,-6.51E-06,-3.98E-05,-3.98E-05,0.000104,1.04,-6.51E-03,-3.98E-02,-3.98E-02
-0.108185,-1.98E-06,-5.32E-06,-5.34E-06,0.000103727,1.037266734,-1.98E-03,-5.32E-03,-5.34E-03,-0.108185,-1.46E-05,-3.83E-05,-3.83E-05,0.000104,1.04,-1.46E-02,-3.83E-02,-3.83E-02
-0.109253,-1.50E-06,-5.18E-06,-5.19E-06,0.000103707,1.037072257,-1.50E-03,-5.18E-03,-5.19E-03,-0.109253,-1.05E-05,-3.73E-05,-3.73E-05,0.000104,1.04,-1.05E-02,-3.73E-02,-3.73E-02
-0.110321,-1.67E-06,-5.08E-06,-5.09E-06,0.000103687,1.036865043,-1.67E-03,-5.08E-03,-5.09E-03,-0.110321,-1.52E-05,-3.66E-05,-3.66E-05,0.000104,1.04,-1.52E-02,-3.66E-02,-3.66E-02
-0.111389,-1.34E-06,-5.01E-06,-5.03E-06,0.000103669,1.036693216,-1.34E-03,-5.01E-03,-5.03E-03,-0.111389,-1.11E-05,-3.61E-05,-3.61E-05,0.000104,1.04,-1.11E-02,-3.61E-02,-3.61E-02
-0.112457,-1.29E-06,-4.96E-06,-4.98E-06,0.00010365,1.036504719,-1.29E-03,-4.96E-03,-4.98E-03,-0.112457,-9.42E-06,-3.58E-05,-3.58E-05,0.000104,1.04,-9.42E-03,-3.58E-02,-3.58E-02
-0.113525,-8.16E-07,-4.94E-06,-4.95E-06,0.000103635,1.036346481,-8.16E-04,-4.94E-03,-4.95E-03,-0.113525,-6.23E-06,-3.56E-05,-3.56E-05,0.000104,1.04,-6.23E-03,-3.56E-02,-3.56E-02
-0.114594,-8.78E-07,-4.93E-06,-4.94E-06,0.000103617,1.036169874,-8.78E-04,-4.93E-03,-4.94E-03,-0.114594,-1.31E-06,-3.55E-05,-3.55E-05,0.000104,1.04,-1.31E-03,-3.55E-02,-3.55E-02
-0.115662,-4.65E-08,-4.93E-06,-4.95E-06,0.000103602,1.036020144,-4.65E-05,-4.93E-03,-4.95E-03,-0.115662,-2.15E-06,-3.55E-05,-3.55E-05,0.000104,1.04,-2.15E-03,-3.55E-02,-3.55E-02
-0.11673,8.42E-07,-4.94E-06,-4.96E-06,0.000103585,1.035851442,8.42E-04,-4.94E-03,-4.96E-03,-0.11673,9.49E-06,-3.56E-05,-3.56E-05,0.000104,1.04,9.49E-03,-3.56E-02,-3.56E-02
-0.117798,9.73E-07,-4.96E-06,-4.98E-06,0.000103571,1.035707503,9.73E-04,-4.96E-03,-4.98E-03,-0.117798,9.68E-06,-3.58E-05,-3.58E-05,0.000104,1.04,9.68E-03,-3.58E-02,-3.58E-02
-0.118866,1.89E-06,-4.99E-06,-5.01E-06,0.000103554,1.035544139,1.89E-03,-4.99E-03,-5.01E-03,-0.118866,1.09E-05,-3.60E-05,-3.60E-05,0.000104,1.04,1.09E-02,-3.60E-02,-3.60E-02
-0.119934,2.33E-06,-5.03E-06,-5.05E-06,0.00010354,1.035403837,2.33E-03,-5.03E-03,-5.05E-03,-0.119934,1.25E-05,-3.62E-05,-3.62E-05,0.000104,1.04,1.25E-02,-3.62E-02,-3.62E-02
-0.121002,2.24E-06,-5.07E-06,-5.10E-06,0.000103524,1.035244049,2.24E-03,-5.07E-03,-5.10E-03,-0.121002,4.72E-06,-3.66E-05,-3.66E-05,0.000104,1.04,4.72E-03,-3.66E-02,-3.66E-02
-0.12207,2.71E-06,-5.12E-06,-5.15E-06,0.000103511,1.035105977,2.71E-03,-5.12E-03,-5.15E-03,-0.12207,6.90E-06,-3.69E-05,-3.69E-05,0.000104,1.04,6.90E-03,-3.69E-02,-3.69E-02
-0.123138,2.46E-06,-5.18E-06,-5.20E-06,0.000103495,1.034948485,2.46E-03,-5.18E-03,-5.20E-03,-0.123138,3.39E-06,-3.73E-05,-3.73E-05,0.000104,1.04,3.39E-03,-3.73E-02,-3.73E-02
-0.124207,2.61E-06,-5.24E-06,-5.26E-06,0.000103481,1.034811603,2.61E-03,-5.24E-03,-5.26E-03,-0.124207,-8.87E-07,-3.78E-05,-3.78E-05,0.000104,1.04,-8.87E-04,-3.78E-02,-3.78E-02
-0.125275,2.69E-06,-5.30E-06,-5.33E-06,0.000103466,1.034655306,2.69E-03,-5.30E-03,-5.33E-03,-0.125275,-2.65E-06,-3.82E-05,-3.82E-05,0.000104,1.04,-2.65E-03,-3.82E-02,-3.82E-02
-0.126343,2.93E-06,-5.37E-06,-5.40E-06,0.000103452,1.034518812,2.93E-03,-5.37E-03,-5.40E-03,-0.126343,-5.31E-06,-3.87E-05,-3.87E-05,0.000104,1.04,-5.31E-03,-3.87E-02,-3.87E-02
-0.127411,2.63E-06,-5.45E-06,-5.48E-06,0.000103436,1.034363226,2.63E-03,-5.45E-03,-5.48E-03,-0.127411,-2.51E-06,-3.93E-05,-3.93E-05,0.000104,1.04,-2.51E-03,-3.93E-02,-3.93E-02
-0.128479,2.37E-06,-5.53E-06,-5.56E-06,0.000103423,1.034226487,2.37E-03,-5.53E-03,-5.56E-03,-0.128479,-6.27E-06,-3.98E-05,-3.98E-05,0.000104,1.04,-6.27E-03,-3.98E-02,-3.98E-02
-0.129547,1.38E-06,-5.61E-06,-5.64E-06,0.000103407,1.034070865,1.38E-03,-5.61E-03,-5.64E-03,-0.129547,-2.59E-06,-4.04E-05,-4.04E-05,0.000104,1.04,-2.59E-03,-4.04E-02,-4.04E-02
-0.130615,5.20E-07,-5.70E-06,-5.73E-06,0.000103393,1.033933361,5.20E-04,-5.70E-03,-5.73E-03,-0.130615,-8.85E-06,-4.11E-05,-4.11E-05,0.000104,1.04,-8.85E-03,-4.11E-02,-4.11E-02
-0.131683,5.33E-07,-5.79E-06,-5.82E-06,0.000103378,1.033777195,5.33E-04,-5.79E-03,-5.82E-03,-0.131683,-1.37E-05,-4.17E-05,-4.17E-05,0.000104,1.04,-1.37E-02,-4.17E-02,-4.17E-02
