time (min),Temperature (K),time (min),2 m/z,18 m/z,36 m/z
556,293,549.7544333,0.099435519,0.665899175,0.394958709
559,293,551.5624,0.085075404,0.825028907,0.464454138
561,293,553.3703667,0.083540089,0.839845677,0.46043556
565,295,555.1783333,0.083426946,0.811685398,0.461977411
570,299,556.9863,0.073227758,0.791161435,0.450086353
575,307,558.7942667,0.07704352,0.790322566,0.44922939
580,319,560.6022333,0.074536979,0.777566803,0.432688016
596,359,562.4102,0.082137322,0.851535872,0.451502917
608,387,564.2181667,0.070828873,0.80099385,0.438926669
615,419,566.0261333,0.069508224,0.802708616,0.42590579
620,453,567.8341,0.068319021,0.795602192,0.415555299
625,497,569.6420667,0.06456402,0.784620042,0.41168211
630,549,571.4500333,0.066541966,0.774356528,0.4058941
635,610,573.258,0.063685108,0.748306699,0.396079658
640,684,575.0659667,0.05927398,0.722732916,0.396274491
645,740,576.8739333,0.058190312,0.676767265,0.390501036
650,775,578.6819,0.058054137,0.61812752,0.382815857
655,794,580.4898667,0.052974849,0.569947726,0.378165646
660,806,582.2978333,0.054933326,0.545656687,0.377775747
665,827,584.1058,0.052339443,0.512271681,0.36907265
670,867,585.9137667,0.050515079,0.499118475,0.370275705
675,924,587.7217333,0.050534448,0.473501076,0.372405856
681,984,589.5297,0.045874611,0.450239573,0.371383053
685,1043,591.3376667,0.047700526,0.433663286,0.365153134
695,1088,593.1456333,0.043400339,0.42577443,0.370822623
700,1111,594.9536,0.043898988,0.409015105,0.368618201
707,1117,596.7615667,0.049927009,0.397278061,0.371226096
710,1117,598.5695333,0.042636291,0.372790421,0.387582523
716,1119,600.3775,0.051890926,0.383033951,0.401266018
720,1120,602.1854667,0.043726697,0.371894143,0.402206512
769,1122,603.9934333,0.043764471,0.367318283,0.426634316
,,605.8014,0.039264778,0.358752759,0.414398813
,,607.6093667,0.041102929,0.357645248,0.415248212
,,609.4173333,0.037672069,0.344214592,0.418687419
,,611.2253,0.040382447,0.349450189,0.419690876
,,613.0332667,0.039236482,0.338672699,0.417157883
,,614.8412333,0.040710348,0.336992298,0.418947242
,,616.6492,0.037314072,0.34015623,0.410927424
,,618.4571667,0.038881712,0.325755627,0.421953465
,,620.2651333,0.037714411,0.316426812,0.421575992
,,622.0731,0.034819341,0.305989005,0.412735319
,,623.8810667,0.037710537,0.303296437,0.410214649
,,625.6890333,0.035696023,0.302193526,0.411072805
,,627.497,0.039061229,0.297948247,0.404448058
,,629.3049667,0.037908455,0.296882099,0.405212734
,,631.1129333,0.040988831,0.29378383,0.390820893
,,632.9209,0.043898072,0.29456573,0.364748525
,,634.7288667,0.051838351,0.291771686,0.381008841
,,636.5368333,0.062517139,0.288760199,0.38735072
,,638.3448,0.062743411,0.292842019,0.378207768
,,640.1527667,0.066322664,0.285122415,0.376115844
,,641.9607333,0.07243479,0.283339886,0.391301596
,,643.7687,0.082438185,0.286027987,0.406645005
,,645.5766667,0.111552305,0.280184003,0.409493134
,,647.3846333,0.137441503,0.285441047,0.402899469
,,649.1926,0.190695007,0.284779426,0.405615527
,,651.0005667,0.262943424,0.280857255,0.412031964
,,652.8085333,0.379629238,0.279790412,0.423184209
,,654.6165,0.584049306,0.283345514,0.419764335
,,656.4244667,0.852240876,0.280382972,0.432002686
,,658.2324333,1.09552813,0.283733419,0.432277977
,,660.0404,1.317509803,0.281068488,0.432236366
,,661.8483667,1.519010488,0.26768701,0.440905913
,,663.6563333,1.611583559,0.259438371,0.439849966
,,665.4643,1.601198948,0.265186082,0.443135652
,,667.2722667,1.579269244,0.255849306,0.451191533
,,669.0802333,1.429534056,0.254936802,0.442878297
,,670.8882,1.276727769,0.250733025,0.444801165
,,672.6961667,1.157062791,0.24583189,0.441888314
,,674.5041333,1.092474727,0.236972621,0.44176779
,,676.3121,1.100449532,0.245023325,0.443473981
,,678.1200667,1.118147406,0.243703167,0.443784158
,,679.9280333,1.174372105,0.246162257,0.440600429
,,681.736,1.225738081,0.24360143,0.440682476
,,683.5439667,1.337565497,0.253444823,0.442593331
,,685.3519333,1.475146609,0.250819758,0.447437755
,,687.1599,1.693596,0.243584087,0.447910995
,,688.9678667,1.912840923,0.239013745,0.448208524
,,690.7758333,1.997074113,0.244954471,0.443978143
,,692.5838,2.055214544,0.245895032,0.445210344
,,694.3917667,2.143516233,0.243132776,0.44305965
,,696.1997333,2.178190006,0.249169872,0.448456987
,,698.0077,2.237615269,0.247901284,0.44666125
,,699.8156667,2.550863859,0.253598267,0.587880683
,,701.6236333,2.520957415,0.301556159,2.434874585
,,703.4316,2.68469677,0.329887415,3.483528103
,,705.2395667,6.269526043,0.376355432,5.505734308
,,707.0475333,6.565661463,0.43275152,8.582156614
,,708.8555,5.151961912,0.483383092,10.26108795
,,710.6634667,3.893056484,0.443384804,8.868065653
,,712.4714333,2.781834439,0.384993611,7.444173635
,,714.2794,2.241274185,0.362351353,6.493202922
,,716.3191833,1.778953907,0.34428866,5.493403789
,,718.12715,1.463703019,0.335295346,4.840732397
,,719.9351167,1.23657936,0.324419101,4.312402024
,,721.7430833,1.123104316,0.326280195,4.042396914
,,723.55105,1.094223162,0.31863433,3.679795713
,,725.3590167,1.087248563,0.315579837,3.491111756
,,727.1669833,1.018365819,0.311775758,3.42800616
,,728.97495,0.99434946,0.300021716,3.216735378
,,730.7829167,0.932812359,0.293001287,2.964699426
