"Figure 2 data (WE Area: 1.04 cm^2, scan rate: 0.3 V/s)",
Potential (V),Current Density (mA/cm^3)
-0.000912476,-2.379810692
-0.00198975,-2.397482028
-0.00306702,-2.362139356
-0.00414124,-2.353298862
-0.00519714,-2.394538414
-0.00625305,-2.3915948
-0.00732422,-2.332683912
-0.00837097,-2.34446802
-0.00945435,-2.394538414
-0.0105255,-2.359195742
-0.0115662,-2.341524406
-0.0126373,-2.400425642
-0.0137207,-2.379810692
-0.0148071,-2.335627526
-0.0158264,-2.388651186
-0.0169067,-2.394538414
-0.0180023,-2.350355248
-0.0190674,-2.338580792
-0.0201233,-2.38569792
-0.0211914,-2.376867078
-0.0222595,-2.359195742
-0.0232849,-2.362139356
-0.0243652,-2.379810692
-0.0254425,-2.359195742
-0.0265137,-2.362139356
-0.0275665,-2.397482028
-0.0286499,-2.350355248
-0.0296906,-2.368026584
-0.0307678,-2.406322522
-0.0318329,-2.382754306
-0.0328857,-2.373923464
-0.0339569,-2.373923464
-0.0350311,-2.409266136
-0.0361328,-2.356252128
-0.0371613,-2.338580792
-0.0382355,-2.36508297
-0.0393341,-2.397482028
-0.040387,-2.362139356
-0.0414337,-2.388651186
-0.0425018,-2.38569792
-0.0435669,-2.37097985
-0.0446381,-2.379810692
-0.0457062,-2.41220975
-0.0467743,-2.394538414
-0.0478119,-2.379810692
-0.0488831,-2.400425642
-0.0499878,-2.388651186
-0.0511169,-2.362139356
-0.0520935,-2.397482028
-0.0532227,-2.438721579
-0.0542908,-2.388651186
-0.0552979,-2.38569792
-0.0563965,-2.426937472
-0.0574646,-2.409266136
-0.0585632,-2.403369256
-0.0596008,-2.415153364
-0.0606384,-2.4328247
-0.0617371,-2.38569792
-0.0627747,-2.400425642
-0.0638733,-2.421040592
-0.0648804,-2.400425642
-0.065979,-2.36508297
-0.0670166,-2.456392915
-0.0681152,-2.415153364
-0.0691528,-2.379810692
-0.0702515,-2.418096978
-0.0712891,-2.450496036
-0.0723267,-2.409266136
-0.0734863,-2.403369256
-0.0744934,-2.45343965
-0.075592,-2.462280144
-0.0766602,-2.403369256
-0.0776978,-2.4328247
-0.0788269,-2.447552422
-0.0798035,-2.423993858
-0.0809326,-2.41220975
-0.0820007,-2.471110986
-0.0830688,-2.450496036
-0.0841675,-2.421040592
-0.0852051,-2.438721579
-0.0863037,-2.474064251
-0.0873413,-2.423993858
-0.0884094,-2.4328247
-0.089386,-2.468167372
-0.0905151,-2.465223758
-0.0915527,-2.438721579
-0.0926514,-2.488791973
-0.0937195,-2.450496036
-0.0947876,-2.423993858
-0.0957947,-2.471110986
-0.0969543,-2.47995148
-0.0979614,-2.450496036
-0.0990295,-2.423993858
-0.100128,-2.47995148
-0.101196,-2.494679202
-0.102203,-2.45343965
-0.103302,-2.471110986
-0.104401,-2.485838708
-0.105408,-2.462280144
-0.106476,-2.450496036
-0.107544,-2.503510044
-0.108612,-2.474064251
-0.109711,-2.462280144
-0.110718,-2.485838708
-0.111847,-2.52118138
-0.112885,-2.450496036
-0.113953,-2.471110986
-0.115051,-2.532965488
-0.116119,-2.518237766
-0.117157,-2.482895094
-0.118256,-2.503510044
-0.119354,-2.524134645
-0.120422,-2.491735587
-0.121429,-2.503510044
-0.122559,-2.52707826
-0.123627,-2.491735587
-0.124634,-2.506463309
-0.125702,-2.550636824
-0.126801,-2.544749596
-0.127838,-2.50056643
