Figure 3 data,,,,,,,,,,,
Exp 1 (11/17),,,,Exp 3 (12/1),,,,Exp 6 (10/11),,,
300 mV/s,,,,300 mV/s,,,,300 mV/s,,,
WE Potential (V),Adjusted Potential (WE Potential + 0 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2),WE Potential (V),Adjusted Potential (WE Potential - 0.2 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2),WE Potential (V),Adjusted Potential (WE Potential - 0.9 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2)
-0.00093689,-0.00093689,-0.005232974,-5.232974148,-0.000912476,-0.200912476,-0.002379811,-2.379810692,-0.000900269,-0.900900269,-0.011561654,-11.56165422
-0.00199585,-0.00199585,-0.005222699,-5.222699168,-0.00198975,-0.20198975,-0.002397482,-2.397482028,-0.00197144,-0.90197144,-0.011548643,-11.54864315
-0.00305176,-0.00305176,-0.005239835,-5.239835364,-0.00306702,-0.20306702,-0.002362139,-2.362139356,-0.00303955,-0.90303955,-0.011457821,-11.45782078
-0.00411682,-0.00411682,-0.005301519,-5.30151893,-0.00414124,-0.20414124,-0.002353299,-2.353298862,-0.00409241,-0.90409241,-0.011457821,-11.45782078
-0.00520325,-0.00520325,-0.005287808,-5.287807728,-0.00519714,-0.20519714,-0.002394538,-2.394538414,-0.00516357,-0.90516357,-0.011574623,-11.57462278
-0.00623169,-0.00623169,-0.005267247,-5.267246539,-0.00625305,-0.20625305,-0.002391595,-2.3915948,-0.00625,-0.90625,-0.011561654,-11.56165422
-0.00730286,-0.00730286,-0.00532208,-5.322080119,-0.00732422,-0.20732422,-0.002332684,-2.332683912,-0.00731506,-0.90731506,-0.011509738,-11.5097375
-0.00838013,-0.00838013,-0.005352928,-5.352927517,-0.00837097,-0.20837097,-0.002344468,-2.34446802,-0.00834961,-0.90834961,-0.011639508,-11.63950805
-0.00946045,-0.00946045,-0.005311794,-5.31179391,-0.00945435,-0.20945435,-0.002394538,-2.394538414,-0.00945129,-0.90945129,-0.011613528,-11.61352843
-0.010498,-0.010498,-0.005339216,-5.339216314,-0.0105255,-0.2105255,-0.002359196,-2.359195742,-0.0105133,-0.9105133,-0.011626539,-11.6265395
-0.0115936,-0.0115936,-0.005387189,-5.387188678,-0.0115662,-0.2115662,-0.002341524,-2.341524406,-0.011554,-0.911554,-0.011678414,-11.6784137
-0.0126404,-0.0126404,-0.005390625,-5.390624901,-0.0126373,-0.2126373,-0.002400426,-2.400425642,-0.0126312,-0.9126312,-0.011769236,-11.76923607
-0.0136902,-0.0136902,-0.005387189,-5.387188678,-0.0137207,-0.2137207,-0.002379811,-2.379810692,-0.0136963,-0.9136963,-0.011613528,-11.61352843
-0.0147705,-0.0147705,-0.005418036,-5.418036076,-0.0148071,-0.2148071,-0.002335628,-2.335627526,-0.0147583,-0.9147583,-0.011665445,-11.66544515
-0.0158447,-0.0158447,-0.00540775,-5.407749867,-0.0158264,-0.2158264,-0.002388651,-2.388651186,-0.0158112,-0.9158112,-0.01184709,-11.8470899
-0.0168945,-0.0168945,-0.005387189,-5.387188678,-0.0169067,-0.2169067,-0.002394538,-2.394538414,-0.0168915,-0.9168915,-0.011808184,-11.80818425
-0.0179688,-0.0179688,-0.005411186,-5.41118609,-0.0180023,-0.2180023,-0.002350355,-2.350355248,-0.0179535,-0.9179535,-0.011808184,-11.80818425
-0.0190247,-0.0190247,-0.005445447,-5.445447252,-0.0190674,-0.2190674,-0.002338581,-2.338580792,-0.0190155,-0.9190155,-0.01187307,-11.87306952
-0.0200989,-0.0200989,-0.005431747,-5.431747279,-0.0201233,-0.2201233,-0.002385698,-2.38569792,-0.0201141,-0.9201141,-0.011911975,-11.91197517
-0.0211334,-0.0211334,-0.005438597,-5.438597265,-0.0211914,-0.2211914,-0.002376867,-2.376867078,-0.0211456,-0.9211456,-0.011899007,-11.89900662
-0.022226,-0.022226,-0.005476295,-5.476294649,-0.0222595,-0.2222595,-0.002359196,-2.359195742,-0.022229,-0.922229,-0.011911975,-11.91197517
-0.0232819,-0.0232819,-0.005496856,-5.496855838,-0.0232849,-0.2232849,-0.002362139,-2.362139356,-0.0232971,-0.9232971,-0.012015809,-12.01580862
-0.0243622,-0.0243622,-0.005466008,-5.46600844,-0.0243652,-0.2243652,-0.002379811,-2.379810692,-0.0243774,-0.9243774,-0.011989829,-11.98982899
-0.0254272,-0.0254272,-0.005503706,-5.503705825,-0.0254425,-0.2254425,-0.002359196,-2.359195742,-0.0254181,-0.9254181,-0.01197686,-11.97686044
-0.0264862,-0.0264862,-0.005517417,-5.517417027,-0.0265137,-0.2265137,-0.002362139,-2.362139356,-0.0264771,-0.9264771,-0.012054714,-12.05471427
-0.0275604,-0.0275604,-0.005493431,-5.493430845,-0.0275665,-0.2275665,-0.002397482,-2.397482028,-0.0275543,-0.9275543,-0.012093662,-12.09366244
-0.0286163,-0.0286163,-0.005496856,-5.496855838,-0.0286499,-0.2286499,-0.002350355,-2.350355248,-0.0286316,-0.9286316,-0.012054714,-12.05471427
-0.0296692,-0.0296692,-0.005561964,-5.561964398,-0.0296906,-0.2296906,-0.002368027,-2.368026584,-0.0296631,-0.9296631,-0.012093662,-12.09366244
-0.0307617,-0.0307617,-0.005534553,-5.534553223,-0.0307678,-0.2307678,-0.002406323,-2.406322522,-0.0307465,-0.9307465,-0.012197453,-12.19745336
-0.0318146,-0.0318146,-0.005551689,-5.551689418,-0.0318329,-0.2318329,-0.002382754,-2.382754306,-0.0317932,-0.9317932,-0.012314255,-12.31425536
-0.0328827,-0.0328827,-0.005551689,-5.551689418,-0.0328857,-0.2328857,-0.002373923,-2.373923464,-0.0328705,-0.9328705,-0.012158548,-12.15854771
-0.0339539,-0.0339539,-0.005513992,-5.513992034,-0.0339569,-0.2339569,-0.002373923,-2.373923464,-0.0339417,-0.9339417,-0.012210422,-12.21042191
-0.0350311,-0.0350311,-0.005544828,-5.544828202,-0.0350311,-0.2350311,-0.002409266,-2.409266136,-0.035025,-0.935025,-0.012379141,-12.37914063
-0.0360687,-0.0360687,-0.005561964,-5.561964398,-0.0361328,-0.2361328,-0.002356252,-2.356252128,-0.0360809,-0.9360809,-0.012301287,-12.30128681
-0.0371704,-0.0371704,-0.005585962,-5.585961809,-0.0371613,-0.2371613,-0.002338581,-2.338580792,-0.0371277,-0.9371277,-0.012340192,-12.34019246
-0.0382263,-0.0382263,-0.005548264,-5.548264425,-0.0382355,-0.2382355,-0.002365083,-2.36508297,-0.038205,-0.938205,-0.012431015,-12.43101483
-0.0393158,-0.0393158,-0.005510567,-5.510567041,-0.0393341,-0.2393341,-0.002397482,-2.397482028,-0.0393036,-0.9393036,-0.012314255,-12.31425536
-0.0403717,-0.0403717,-0.005579101,-5.579100593,-0.040387,-0.240387,-0.002362139,-2.362139356,-0.0403381,-0.9403381,-0.012366172,-12.36617208
-0.0414185,-0.0414185,-0.005603087,-5.603086776,-0.0414337,-0.2414337,-0.002388651,-2.388651186,-0.0414093,-0.9414093,-0.0124959,-12.49590011
-0.0424988,-0.0424988,-0.005555114,-5.555114411,-0.0425018,-0.2425018,-0.002385698,-2.38569792,-0.0424866,-0.9424866,-0.0124959,-12.49590011
-0.0435638,-0.0435638,-0.005558539,-5.558539405,-0.0435669,-0.2435669,-0.00237098,-2.37097985,-0.0435547,-0.9435547,-0.012456994,-12.45699446
-0.0446289,-0.0446289,-0.005613373,-5.613372985,-0.0446381,-0.2446381,-0.002379811,-2.379810692,-0.0446014,-0.9446014,-0.012573754,-12.57375393
-0.0457123,-0.0457123,-0.005582526,-5.582525587,-0.0457062,-0.2457062,-0.00241221,-2.41220975,-0.0456787,-0.9456787,-0.012638639,-12.6386392
-0.046759,-0.046759,-0.005609948,-5.609947991,-0.0467743,-0.2467743,-0.002394538,-2.394538414,-0.046756,-0.946756,-0.012677587,-12.67758738
-0.0478088,-0.0478088,-0.005592812,-5.592811796,-0.0478119,-0.2478119,-0.002379811,-2.379810692,-0.0478241,-0.9478241,-0.012625671,-12.62567065
-0.0488922,-0.0488922,-0.005575676,-5.5756756,-0.0488831,-0.2488831,-0.002400426,-2.400425642,-0.0488617,-0.9488617,-0.012690556,-12.69055593
-0.0499878,-0.0499878,-0.005582526,-5.582525587,-0.0499878,-0.2499878,-0.002388651,-2.388651186,-0.0499573,-0.9499573,-0.012729462,-12.72946158
-0.0509949,-0.0509949,-0.005609948,-5.609947991,-0.0511169,-0.2511169,-0.002362139,-2.362139356,-0.0510864,-0.9510864,-0.012677587,-12.67758738
-0.052063,-0.052063,-0.005630509,-5.63050918,-0.0520935,-0.2520935,-0.002397482,-2.397482028,-0.052124,-0.952124,-0.01289818,-12.8981803
