Figure 4 Data,,,,,,
Exp 1,,Exp 3,,Exp 6 (10/11),,
300 mV/s,,300 mV/s,,300 mV/s,,
Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),
-0.120714,-0.976685665,-0.100739,-0.517471557,-0.398578,1.245699446,
-0.121721,-0.952697237,-0.101807,-0.500337608,-0.397479,1.232722391,
-0.12282,-0.956123353,-0.102753,-0.520898797,-0.396442,1.232722391,
-0.123857,-1.007528571,-0.103973,-0.562022297,-0.395343,1.219745336,
-0.124956,-0.973258426,-0.10498,-0.53460663,-0.394336,1.232722391,
-0.126024,-0.962977831,-0.105988,-0.49348313,-0.393207,1.141891513,
-0.127062,-1.034944238,-0.107056,-0.544887224,-0.3922,1.219745336,
-0.128099,-1.01095581,-0.108185,-0.555168942,-0.391071,1.180818425,
-0.129229,-0.962977831,-0.109253,-0.514045441,-0.389972,1.102960349,
-0.130205,-1.02808976,-0.110291,-0.551741703,-0.388904,1.141891513,
-0.131304,-1.048652071,-0.111389,-0.586011848,-0.387927,1.16784137,
-0.132372,-1.021236404,-0.112427,-0.548314464,-0.386829,1.089987546,
-0.13344,-1.02808976,-0.113525,-0.548314464,-0.385699,1.077010492,
-0.134569,-1.065787144,-0.114563,-0.586011848,-0.384662,1.115937404,
-0.135607,-1.072640499,-0.115662,-0.565449536,-0.383563,1.064033437,
-0.136644,-1.048652071,-0.11673,-0.544887224,-0.382526,1.03808358,
-0.137712,-1.082921094,-0.117798,-0.586011848,-0.381458,1.03808358,
-0.13875,-1.106910645,-0.118866,-0.603145798,-0.380359,1.077010492,
-0.139879,-1.065787144,-0.119965,-0.558596181,-0.379321,1.025106525,
-0.140856,-1.086348333,-0.120941,-0.568876775,-0.378192,1.03808358,
-0.141985,-1.117191239,-0.12204,-0.633988704,-0.377155,1.077010492,
-0.143083,-1.09663005,-0.123138,-0.599719681,-0.376117,1.025106525,
-0.144091,-1.065787144,-0.124176,-0.592865203,-0.37511,0.960225504,
-0.145128,-1.117191239,-0.125214,-0.613427515,-0.37392,1.012129471,
-0.146166,-1.124049086,-0.126343,-0.623708109,-0.372943,1.03808358,
-0.147264,-1.09663005,-0.12738,-0.596292442,-0.371814,0.973202559,
-0.148394,-1.130899072,-0.128418,-0.610000276,-0.370807,0.960225504,
-0.14937,-1.168596457,-0.129517,-0.644269298,-0.369678,1.03808358,
-0.150499,-1.134324066,-0.130615,-0.610000276,-0.36864,0.973202559,
-0.151567,-1.141185282,-0.131653,-0.603145798,-0.367511,0.960225504,
-0.152666,-1.182307659,-0.13269,-0.654551016,-0.366443,0.999152416,
-0.153673,-1.17202145,-0.133759,-0.637415943,-0.365436,0.999152416,
-0.154741,-1.154885254,-0.134827,-0.610000276,-0.364307,0.908321538,
-0.155779,-1.216568821,-0.135864,-0.633988704,-0.363269,0.908321538,
-0.156877,-1.202868848,-0.136993,-0.681966683,-0.362231,0.986179614,
-0.157946,-1.175446443,-0.138062,-0.644269298,-0.361102,0.934275647,
-0.159014,-1.178871436,-0.13913,-0.640843182,-0.360004,0.934275647,
-0.160082,-1.233705016,-0.140167,-0.671686088,-0.359027,0.986179614,
-0.16118,-1.206293841,-0.141235,-0.668258849,-0.357837,1.012129471,
-0.162188,-1.192582639,-0.142334,-0.633988704,-0.356891,0.973202559,
-0.163286,-1.233705016,-0.143372,-0.685393922,-0.355762,0.960225504,
-0.164354,-1.250841212,-0.144409,-0.685393922,-0.354755,1.012129471,
-0.165453,-1.202868848,-0.145508,-0.644269298,-0.353625,0.999152416,
-0.16646,-1.240566232,-0.146576,-0.640843182,-0.352588,1.012129471,
-0.167498,-1.28168861,-0.147644,-0.688820038,-0.35152,1.025106525,
-0.168627,-1.247416219,-0.148743,-0.657977132,-0.350421,1.03808358,
-0.169695,-1.23713001,-0.14978,-0.637415943,-0.349384,1.025106525,
-0.170702,-1.285113603,-0.150848,-0.681966683,-0.348315,1.064033437,
-0.171801,-1.274827394,-0.151886,-0.688820038,-0.347217,1.102960349,
-0.172869,-1.261127421,-0.152985,-0.661404371,-0.346179,1.141891513,
-0.173906,-1.302249799,-0.154083,-0.702527871,-0.345081,1.180818425,
-0.175035,-1.322810988,-0.155121,-0.695674516,-0.343951,1.219745336,
-0.176073,-1.274827394,-0.156158,-0.678539443,-0.342975,1.180818425,
-0.177172,-1.274827394,-0.157196,-0.66483161,-0.341907,1.232722391,
-0.178209,-1.322810988,-0.158234,-0.729943538,-0.340808,1.245699446,
-0.179247,-1.329660974,-0.159424,-0.70938235,-0.339771,1.297603412,
-0.180315,-1.295388583,-0.160431,-0.685393922,-0.338672,1.16784137,
-0.181414,-1.326235981,-0.161438,-0.719662944,-0.337634,1.206768282,
-0.182512,-1.377644568,-0.162598,-0.726517422,-0.336627,1.206768282,
-0.18358,-1.339947183,-0.163635,-0.681966683,-0.335406,1.206768282,
-0.184648,-1.350222163,-0.164642,-0.70938235,-0.334399,1.128914458,
-0.185656,-1.374208345,-0.16571,-0.743651372,-0.333362,1.206768282,
-0.186754,-1.339947183,-0.16684,-0.702527871,-0.332263,1.193795479,
-0.187822,-1.343372176,-0.167847,-0.702527871,-0.331256,1.219745336,
-0.18886,-1.398205756,-0.168945,-0.75050585,-0.330127,1.141891513,
-0.189928,-1.360508372,-0.170044,-0.764213684,-0.32912,1.180818425,
-0.190966,-1.370783352,-0.171021,-0.723090183,-0.32796,1.16784137,
-0.192064,-1.387919547,-0.17215,-0.729943538,-0.326923,1.128914458,
-0.193163,-1.442753127,-0.173187,-0.781348756,-0.325854,1.16784137,
-0.1942,-1.435903141,-0.174286,-0.729943538,-0.324817,1.180818425,
-0.195238,-1.39134454,-0.175323,-0.726517422,-0.323718,1.077010492,
-0.196367,-1.425616932,-0.176422,-0.774494278,-0.32265,1.115937404,
-0.197374,-1.453039336,-0.17746,-0.757359205,-0.321521,1.141891513,
