Figure 5 data,,WE Area,1.036141239,cm^2,,,,,,,,,,,,,
0.1 V/s,,,0.2 V/s,,,0.3 V/s,,,0.5 V/s,,,0.7 V/s,,,1.0 V/s,,
Potential (V),WE Current (A),WE Current Density (mA/cm^2),Potential (V),WE Current (A),WE Current Density (mA/cm^2),Potential (V),WE Current (A),WE Current Density (mA/cm^2),Potential (V),WE Current (A),WE Current Density (mA/cm^2),Potential (V),WE Current (A),WE Current Density (mA/cm^2),Potential (V),WE Current (A),WE Current Density (A/cm^2)
-0.201111,-0.000345336,-0.333290469,-0.201111,-0.000348521,-0.336364375,-0.201111,-0.000699156,-0.674769012,-0.201111,-0.000981387,-0.947155622,-0.201111,-0.00121228,-1.169994933,-0.201111,-0.00187614,-1.810699091
-0.202179,-0.000344721,-0.332696921,-0.202179,-0.000346249,-0.334171623,-0.202179,-0.000696739,-0.672436318,-0.202179,-0.000979871,-0.945692501,-0.202179,-0.00121002,-1.167813763,-0.202179,-0.00189707,-1.830899039
-0.203247,-0.000344661,-0.332639014,-0.203247,-0.000342933,-0.330971287,-0.203247,-0.000692036,-0.667897362,-0.203247,-0.000985627,-0.951247728,-0.203247,-0.00121988,-1.17732984,-0.203247,-0.0019181,-1.8511955
-0.204315,-0.000345145,-0.333106132,-0.204315,-0.000341929,-0.330002308,-0.204315,-0.00069189,-0.667756454,-0.204315,-0.000991269,-0.956692932,-0.204315,-0.0012228,-1.180147989,-0.204315,-0.001936,-1.868471137
-0.205383,-0.000345781,-0.333719947,-0.205383,-0.000342272,-0.330333344,-0.205383,-0.000697835,-0.673494089,-0.205383,-0.000993086,-0.958446554,-0.205383,-0.001234,-1.190957326,-0.205383,-0.00194923,-1.881239667
-0.206451,-0.000346492,-0.334406147,-0.206451,-0.000345773,-0.333712227,-0.206451,-0.000705022,-0.680430402,-0.206451,-0.000995282,-0.960565956,-0.206451,-0.00123678,-1.193640358,-0.206451,-0.00196609,-1.89751158
-0.20752,-0.000347129,-0.335020928,-0.20752,-0.000350305,-0.338086148,-0.20752,-0.000701733,-0.677256124,-0.20752,-0.00100467,-0.969626497,-0.20752,-0.00124151,-1.198205373,-0.20752,-0.00197223,-1.903437413
-0.208588,-0.000347975,-0.335837419,-0.208588,-0.000355497,-0.343097047,-0.208588,-0.000704058,-0.679500027,-0.208588,-0.00102301,-0.987326786,-0.208588,-0.00125884,-1.214930892,-0.208588,-0.00197868,-1.909662433
-0.209656,-0.000349735,-0.33753603,-0.209656,-0.000361574,-0.348962078,-0.209656,-0.000714006,-0.689101035,-0.209656,-0.00103679,-1.000626131,-0.209656,-0.00126783,-1.223607315,-0.209656,-0.00199007,-1.920655143
-0.210724,-0.000352313,-0.340024107,-0.210724,-0.000364388,-0.351677924,-0.210724,-0.000718511,-0.693448897,-0.210724,-0.00103904,-1.00279765,-0.210724,-0.0012789,-1.234291187,-0.210724,-0.00199225,-1.922759103
-0.211792,-0.000355323,-0.342929117,-0.211792,-0.000363331,-0.350657793,-0.211792,-0.000720439,-0.695309648,-0.211792,-0.00104625,-1.009756161,-0.211792,-0.00127719,-1.232640833,-0.211792,-0.00199564,-1.926030858
-0.21286,-0.000358588,-0.346080231,-0.21286,-0.000364335,-0.351626773,-0.21286,-0.000730731,-0.705242656,-0.21286,-0.00106461,-1.027475753,-0.21286,-0.00129683,-1.251595777,-0.21286,-0.00200514,-1.935199492
-0.213928,-0.000361791,-0.349171509,-0.213928,-0.000362908,-0.350249547,-0.213928,-0.000740798,-0.714958513,-0.213928,-0.00107832,-1.04070754,-0.213928,-0.00130335,-1.257888356,-0.213928,-0.00201828,-1.947881161
-0.214996,-0.000364764,-0.352040809,-0.214996,-0.000364097,-0.351397074,-0.214996,-0.000742938,-0.717023869,-0.214996,-0.00108312,-1.045340113,-0.214996,-0.00131353,-1.267713271,-0.214996,-0.00202634,-1.955660023
-0.216064,-0.000367867,-0.355035574,-0.216064,-0.000367836,-0.355005656,-0.216064,-0.000744669,-0.71869449,-0.216064,-0.00108253,-1.044770692,-0.216064,-0.00133073,-1.284313325,-0.216064,-0.00203866,-1.967550294
-0.217133,-0.000370803,-0.357869165,-0.217133,-0.000370967,-0.358027444,-0.217133,-0.000758434,-0.731979359,-0.217133,-0.00109582,-1.057597129,-0.217133,-0.00133273,-1.286243563,-0.217133,-0.00205555,-1.98385116
-0.218201,-0.000373728,-0.360692139,-0.218201,-0.000373134,-0.360118858,-0.218201,-0.000763692,-0.737053956,-0.218201,-0.00111002,-1.071301824,-0.218201,-0.00135315,-1.305951301,-0.218201,-0.00207296,-2.000653889
-0.219269,-0.000376699,-0.363559509,-0.219269,-0.00037501,-0.361929422,-0.219269,-0.000763349,-0.736722921,-0.219269,-0.00111489,-1.076001956,-0.219269,-0.00135957,-1.312147368,-0.219269,-0.0020937,-2.020670465
-0.220337,-0.000379418,-0.366183668,-0.220337,-0.000375538,-0.362439005,-0.220337,-0.000770021,-0.743162197,-0.220337,-0.00110972,-1.071012288,-0.220337,-0.00136955,-1.321779259,-0.220337,-0.0021084,-2.03485772
-0.221405,-0.000381943,-0.368620595,-0.221405,-0.000378352,-0.365154851,-0.221405,-0.000773733,-0.74674472,-0.221405,-0.00111301,-1.074187531,-0.221405,-0.00138356,-1.335300582,-0.221405,-0.00212339,-2.04932486
-0.222473,-0.000384208,-0.37080659,-0.222473,-0.000380268,-0.36700402,-0.222473,-0.000773455,-0.746476417,-0.222473,-0.00112841,-1.08905037,-0.222473,-0.00138956,-1.341091298,-0.222473,-0.00213098,-2.056650116
-0.223541,-0.0003865,-0.373018644,-0.223541,-0.000384046,-0.370650241,-0.223541,-0.000776758,-0.749664206,-0.223541,-0.00114196,-1.102127738,-0.223541,-0.00140924,-1.360084848,-0.223541,-0.00214871,-2.073761682
-0.224609,-0.000389548,-0.375960328,-0.224609,-0.000390559,-0.376936063,-0.224609,-0.000785742,-0.758334839,-0.224609,-0.00114305,-1.103179718,-0.224609,-0.00141884,-1.369349994,-0.224609,-0.00216655,-2.090979412
-0.225677,-0.000392896,-0.379191547,-0.225677,-0.000395672,-0.381870719,-0.225677,-0.000789877,-0.762325608,-0.225677,-0.0011426,-1.102745414,-0.225677,-0.00142975,-1.379879447,-0.225677,-0.00217375,-2.097928272
-0.226746,-0.000396534,-0.382702652,-0.226746,-0.00039801,-0.384127168,-0.226746,-0.000793748,-0.766061585,-0.226746,-0.00115834,-1.117936393,-0.226746,-0.00144073,-1.390476457,-0.226746,-0.00218792,-2.111604014
-0.227814,-0.000400386,-0.386420292,-0.227814,-0.00039945,-0.38551694,-0.227814,-0.000805558,-0.777459645,-0.227814,-0.00117827,-1.137171223,-0.227814,-0.00144716,-1.396682175,-0.227814,-0.00220057,-2.123812774
-0.228882,-0.000403849,-0.3897625,-0.228882,-0.000399001,-0.385083601,-0.228882,-0.000815414,-0.786971862,-0.228882,-0.00118562,-1.14426485,-0.228882,-0.00146092,-1.409962218,-0.228882,-0.00220943,-2.132363732
-0.22995,-0.000406697,-0.39251116,-0.22995,-0.000399833,-0.385886581,-0.22995,-0.000819972,-0.791370876,-0.22995,-0.00118721,-1.14579939,-0.22995,-0.00146363,-1.412577691,-0.22995,-0.0022231,-2.145556914
-0.231018,-0.000408983,-0.394717423,-0.231018,-0.000401062,-0.387072712,-0.231018,-0.000827634,-0.79876562,-0.231018,-0.00119761,-1.155836632,-0.231018,-0.00146973,-1.41846492,-0.231018,-0.00223918,-2.161076034
-0.232086,-0.000410705,-0.396379359,-0.232086,-0.000402673,-0.38862752,-0.232086,-0.000838494,-0.809246817,-0.232086,-0.00121884,-1.176326116,-0.232086,-0.00147716,-1.425635757,-0.232086,-0.00225719,-2.178457834
-0.233154,-0.000412507,-0.398118504,-0.233154,-0.000407694,-0.393473384,-0.233154,-0.000842351,-0.812969282,-0.233154,-0.00123211,-1.18913325,-0.233154,-0.00148343,-1.431687055,-0.233154,-0.00227546,-2.196090565
-0.234222,-0.00041453,-0.40007094,-0.234222,-0.000413163,-0.398751622,-0.234222,-0.000845337,-0.815851129,-0.234222,-0.00123674,-1.193601753,-0.234222,-0.00149518,-1.443027208,-0.234222,-0.0022868,-2.207035019
-0.235291,-0.000416951,-0.402407494,-0.235291,-0.000416823,-0.402283959,-0.235291,-0.000857491,-0.82758119,-0.235291,-0.00123765,-1.194480012,-0.235291,-0.00150225,-1.449850602,-0.235291,-0.00229214,-2.212188756
-0.236359,-0.000419919,-0.405271969,-0.236359,-0.000418487,-0.403889918,-0.236359,-0.000864176,-0.834033013,-0.236359,-0.00125068,-1.207055518,-0.236359,-0.00152005,-1.467029727,-0.236359,-0.00229826,-2.218095287
-0.237427,-0.000423362,-0.408594875,-0.237427,-0.000419584,-0.404948654,-0.237427,-0.000870028,-0.839680892,-0.237427,-0.0012628,-1.218752765,-0.237427,-0.00152266,-1.469548689,-0.237427,-0.002311,-2.230390908
-0.238495,-0.000427023,-0.412128177,-0.238495,-0.000420139,-0.405484295,-0.238495,-0.000880677,-0.849958448,-0.238495,-0.00126605,-1.221889403,-0.238495,-0.00154113,-1.487374444,-0.238495,-0.00232791,-2.246711077
-0.239563,-0.000430884,-0.415854503,-0.239563,-0.000421195,-0.406503461,-0.239563,-0.000889198,-0.858182231,-0.239563,-0.00126555,-1.221406843,-0.239563,-0.00156678,-1.512129756,-0.239563,-0.0023423,-2.260599145
-0.240631,-0.000434543,-0.419385875,-0.240631,-0.000423217,-0.408454932,-0.240631,-0.00089147,-0.860374982,-0.240631,-0.00127247,-1.228085469,-0.240631,-0.00157452,-1.51959978,-0.240631,-0.00235596,-2.273782676
-0.241699,-0.000438207,-0.422922072,-0.241699,-0.000428144,-0.413210076,-0.241699,-0.000895922,-0.864671693,-0.241699,-0.00128919,-1.244222265,-0.241699,-0.00159138,-1.535871693,-0.241699,-0.00237517,-2.292322619
-0.242767,-0.000441888,-0.426474677,-0.242767,-0.000436692,-0.421459916,-0.242767,-0.000905857,-0.874260154,-0.242767,-0.00129988,-1.254539391,-0.242767,-0.00159902,-1.543245205,-0.242767,-0.00238918,-2.305843942
-0.243835,-0.000445399,-0.429863211,-0.243835,-0.000443165,-0.427707134,-0.243835,-0.000910349,-0.878595471,-0.243835,-0.00130298,-1.257531262,-0.243835,-0.00161583,-1.559468862,-0.243835,-0.00239971,-2.316006649
-0.244904,-0.000448713,-0.433061616,-0.244904,-0.000447433,-0.431826264,-0.244904,-0.000911472,-0.8796793,-0.244904,-0.00130608,-1.260523132,-0.244904,-0.00162295,-1.566340512,-0.244904,-0.00241323,-2.329055063
-0.245972,-0.0004518,-0.43604094,-0.245972,-0.000451119,-0.435383694,-0.245972,-0.000925079,-0.892811679,-0.245972,-0.00132207,-1.275955391,-0.245972,-0.00163633,-1.57925381,-0.245972,-0.0024254,-2.340800566
-0.24704,-0.000454457,-0.438605262,-0.24704,-0.000451938,-0.436174126,-0.24704,-0.000932477,-0.899951633,-0.24704,-0.00134238,-1.295556965,-0.24704,-0.00165704,-1.599241432,-0.24704,-0.00244166,-2.356493407
-0.248108,-0.000456757,-0.440825037,-0.248108,-0.000452572,-0.436786012,-0.248108,-0.000933825,-0.901252613,-0.248108,-0.00135108,-1.303953504,-0.248108,-0.00166664,-1.608506579,-0.248108,-0.0024511,-2.365604135
-0.249176,-0.000458786,-0.442783264,-0.249176,-0.000454408,-0.438557971,-0.249176,-0.00093866,-0.905918966,-0.249176,-0.00135335,-1.306144325,-0.249176,-0.00168171,-1.623050928,-0.249176,-0.00246481,-2.378835921
-0.250244,-0.000460852,-0.444777201,-0.250244,-0.000458371,-0.442382739,-0.250244,-0.000948595,-0.915507427,-0.250244,-0.00135914,-1.311732366,-0.250244,-0.0016955,-1.636359924,-0.250244,-0.00248387,-2.397231097
-0.251312,-0.000463412,-0.447247906,-0.251312,-0.000466628,-0.45035173,-0.251312,-0.000952703,-0.919472137,-0.251312,-0.00137782,-1.329760797,-0.251312,-0.00170861,-1.649012639,-0.251312,-0.0025041,-2.416755462
-0.25238,-0.000466685,-0.450406742,-0.25238,-0.000471305,-0.454865594,-0.25238,-0.000956416,-0.923055626,-0.25238,-0.00138693,-1.338553034,-0.25238,-0.00172278,-1.662688381,-0.25238,-0.00252514,-2.437061574
-0.253448,-0.000470455,-0.454045242,-0.253448,-0.000474119,-0.45758144,-0.253448,-0.000964646,-0.930998558,-0.253448,-0.00138901,-1.340560483,-0.253448,-0.00173582,-1.675273538,-0.253448,-0.00254552,-2.456730707
-0.254517,-0.000474616,-0.458061104,-0.254517,-0.000477567,-0.460909171,-0.254517,-0.000975453,-0.941428603,-0.254517,-0.00139411,-1.345482591,-0.254517,-0.00175336,-1.692201732,-0.254517,-0.00256496,-2.475492628
