Figure 8 data,,,,,,,,,,,
1 Hz,,,2 Hz,,,4 Hz,,,7 Hz,,
Potential (V),delta current (A),delta current (mA),Potential (V),delta current (A),delta current (mA),Potential (V),delta current (A),delta current (mA),Potential (V),delta current (A),delta current (mA)
-0.179977,2.05E-05,2.05E-02,-0.179977,2.54E-05,2.54E-02,-0.179977,6.74E-05,6.74E-02,-0.179977,0.000144501,1.45E-01
-0.186539,9.34E-06,9.34E-03,-0.186539,8.17E-06,8.17E-03,-0.186539,3.18E-05,3.18E-02,-0.186539,7.42E-05,7.42E-02
-0.1931,2.41E-07,2.41E-04,-0.1931,-5.84E-06,-5.84E-03,-0.1931,1.36E-06,1.36E-03,-0.1931,1.29E-05,1.29E-02
-0.199661,-5.29E-06,-5.29E-03,-0.199661,-1.40E-05,-1.40E-02,-0.199661,-1.79E-05,-1.79E-02,-0.199661,-2.82E-05,-2.82E-02
-0.206223,-5.72E-06,-5.72E-03,-0.206223,-1.34E-05,-1.34E-02,-0.206223,-2.07E-05,-2.07E-02,-0.206223,-3.67E-05,-3.67E-02
-0.212784,1.50E-07,1.50E-04,-0.212784,-2.55E-06,-2.55E-03,-0.212784,-2.31E-06,-2.31E-03,-0.212784,-4.24E-06,-4.24E-03
-0.219345,-1.47E-07,-1.47E-04,-0.219345,0,0.00E+00,-0.219345,2.22E-08,2.22E-05,-0.219345,3.90E-07,3.90E-04
-0.225906,-2.03E-06,-2.03E-03,-0.225906,-8.53E-07,-8.53E-04,-0.225906,-1.50E-06,-1.50E-03,-0.225906,0,0.00E+00
-0.232468,-6.21E-06,-6.21E-03,-0.232468,-3.92E-06,-3.92E-03,-0.232468,-5.54E-06,-5.54E-03,-0.232468,-4.19E-06,-4.19E-03
-0.239029,-1.25E-05,-1.25E-02,-0.239029,-9.26E-06,-9.26E-03,-0.239029,-1.26E-05,-1.26E-02,-0.239029,-1.29E-05,-1.29E-02
-0.24559,-1.92E-05,-1.92E-02,-0.24559,-1.68E-05,-1.68E-02,-0.24559,-2.29E-05,-2.29E-02,-0.24559,-2.65E-05,-2.65E-02
-0.252151,-2.78E-05,-2.78E-02,-0.252151,-2.68E-05,-2.68E-02,-0.252151,-3.62E-05,-3.62E-02,-0.252151,-4.29E-05,-4.29E-02
-0.258713,-3.82E-05,-3.82E-02,-0.258713,-3.89E-05,-3.89E-02,-0.258713,-5.28E-05,-5.28E-02,-0.258713,-6.21E-05,-6.21E-02
-0.265274,-4.99E-05,-4.99E-02,-0.265274,-5.34E-05,-5.34E-02,-0.265274,-7.20E-05,-7.20E-02,-0.265274,-8.51E-05,-8.51E-02
-0.271835,-6.32E-05,-6.32E-02,-0.271835,-6.94E-05,-6.94E-02,-0.271835,-9.41E-05,-9.41E-02,-0.271835,-0.000111091,-1.11E-01
