,1 - Potential Applied / V,1 - Time / s,1 - Current / A,1 - Potential / V,2 - Potential Applied / V,2 - Time / s,2 - Current / A,2 - Potential / V ,3 - Potential Applied / V,3 - Time / s,3 - Current / A,3 - Potential / V,4 - Potential Applied / V,4 - Time / s,4 - Current / A,4 - Potential / V,5 - Potential Applied / V,5 - Time / s,5 - Current / A,5 - Potential / V,6 - Potential Applied / V,6 - Time / s,6 - Current / A,6 - Potential / V,7 - Potential Applied / V,7 - Time / s,7 - Current / A,7 - Potential / V,8 - Potential Applied / V,8 - Time / s,8 - Current / A,8 - Potential / V,9 - Potential Applied / V,9 - Time / s,9 - Current / A,9 - Potential / V,10 - Potential Applied / V,10 - Time / s,10 - Current / A,10 - Potential / V,11 - Potential Applied / V,11 - Time / s,11 - Current / A,11 - Potential / V,12 - Potential Applied / V,12 - Time / s,12 - Current / A,12 - Potential / V,13 - Potential Applied / V,13 - Time / s,13 - Current / A,13 - Potential / V
0,0.00106812,56.699,0.0724792,0.0012146,0.00106812,53.0012,0.105988,0.00123596,0.00106812,44.4572,0.0319336,0.00123596,0.00106812,37.7779,0.0147949,0.00124512,0.00106812,35.113,0.0121338,0.00122681,0.00106812,32.4849,0.00930786,0.00122681,0.00106812,31.1536,0.00848083,0.00119629,0.00106812,29.795,0.00788574,0.00124207,0.00106812,28.4625,0.00772705,0.0012146,0.00106812,24.4593,0.00524597,0.00119324,0.00106812,20.4648,0.00119934,0.0012085,0.00106812,19.7284,0.00119934,0.00122681,0.00106812,53.7306,0.0017569,0.0012146
1,0.00213623,56.7026,0.0727844,0.00226135,0.00213623,53.0048,0.105896,0.00230103,0.00213623,44.4608,0.0316071,0.00232239,0.00213623,37.7815,0.0149231,0.00224915,0.00213623,35.1166,0.0121063,0.00229797,0.00213623,32.4885,0.00935059,0.00229492,0.00213623,31.1572,0.00858765,0.00227966,0.00213623,29.7986,0.00798035,0.0022644,0.00213623,28.466,0.00783081,0.00226746,0.00213623,24.4628,0.00533752,0.00228271,0.00213623,20.4684,0.00125732,0.00229187,0.00213623,19.732,0.0012207,0.00230408,0.00213623,53.752,0.00174622,0.00228882
2,0.00320435,56.7062,0.0729675,0.00332947,0.00320435,53.0084,0.105957,0.00333557,0.00320435,44.4644,0.0314728,0.00335999,0.00320435,37.785,0.0149994,0.00335388,0.00320435,35.1202,0.0121674,0.00334778,0.00320435,32.492,0.00947571,0.00335693,0.00320435,31.1607,0.00862427,0.00334778,0.00320435,29.8022,0.0080658,0.00333252,0.00320435,28.4696,0.00788879,0.00335388,0.00320435,24.4664,0.00534973,0.0033844,0.00320435,20.472,0.00127869,0.00336304,0.00320435,19.7355,0.00129089,0.00335083,0.00320435,53.7733,0.00179504,0.00332947
3,0.00427246,56.7097,0.0730896,0.00443115,0.00427246,53.0119,0.105927,0.00441895,0.00427246,44.4679,0.031308,0.00442505,0.00427246,37.7886,0.0150177,0.00443115,0.00427246,35.1237,0.0123199,0.00441284,0.00427246,32.4956,0.0095459,0.00441589,0.00427246,31.1643,0.00866699,0.004422,0.00427246,29.8057,0.00808411,0.00444031,0.00427246,28.4732,0.00796814,0.00440979,0.00427246,24.4699,0.00541992,0.00440063,0.00427246,20.4755,0.00135193,0.00439758,0.00427246,19.7391,0.00137024,0.00440674,0.00427246,53.7947,0.0018512,0.00439758
4,0.00534058,56.7133,0.0733032,0.00544128,0.00534058,53.0155,0.105804,0.00552673,0.00534058,44.4715,0.031076,0.00551453,0.00534058,37.7921,0.0150513,0.00550232,0.00534058,35.1273,0.0123657,0.00549927,0.00534058,32.4992,0.00954285,0.00552063,0.00534058,31.1678,0.00877991,0.00547485,0.00534058,29.8093,0.00814819,0.00548706,0.00534058,28.4767,0.00802612,0.00547485,0.00534058,24.4735,0.00552673,0.0054718,0.00534058,20.4791,0.00143738,0.00550537,0.00534058,19.7426,0.00139771,0.00550842,0.00534058,53.8161,0.00184448,0.00549622
5,0.00640869,56.7168,0.0735474,0.00656433,0.00640869,53.019,0.105774,0.00653687,0.00640869,44.475,0.0308533,0.00658875,0.00640869,37.7957,0.0151978,0.00652771,0.00640869,35.1308,0.0123596,0.00658264,0.00640869,32.5027,0.00966187,0.00656128,0.00640869,31.1714,0.00883789,0.00657654,0.00640869,29.8128,0.00826416,0.00654907,0.00640869,28.4803,0.00809631,0.00657349,0.00640869,24.4771,0.00557861,0.00657043,0.00640869,20.4826,0.00144958,0.00656433,0.00640869,19.7462,0.00144653,0.00655518,0.00640869,53.8374,0.00184906,0.00657959
6,0.00747681,56.7204,0.073761,0.00763245,0.00747681,53.0226,0.105865,0.00763245,0.00747681,44.4786,0.0307404,0.0076355,0.00747681,37.7993,0.0152649,0.00764771,0.00747681,35.1344,0.0124939,0.00762024,0.00747681,32.5063,0.00976868,0.00762939,0.00747681,31.175,0.00884094,0.00766296,0.00747681,29.8164,0.00829468,0.00763245,0.00747681,28.4838,0.00808411,0.00764771,0.00747681,24.4806,0.00557556,0.00763245,0.00747681,20.4862,0.00151672,0.00760803,0.00747681,19.7498,0.00154114,0.00761414,0.00747681,53.8588,0.00190552,0.00759888
7,0.00854492,56.724,0.0739136,0.00868225,0.00854492,53.0262,0.105713,0.00871582,0.00854492,44.4822,0.0306061,0.00870667,0.00854492,37.8028,0.0152771,0.00871887,0.00854492,35.138,0.012616,0.00870972,0.00854492,32.5098,0.00975342,0.00872498,0.00854492,31.1785,0.0089325,0.00870056,0.00854492,29.82,0.00829468,0.00870667,0.00854492,28.4874,0.00819702,0.00868835,0.00854492,24.4842,0.00569153,0.0086792,0.00854492,20.4898,0.00160828,0.00870056,0.00854492,19.7533,0.00159912,0.00869446,0.00854492,53.8801,0.00193481,0.0086792
8,0.00961304,56.7275,0.0741577,0.00975037,0.00961304,53.0297,0.10553,0.00975647,0.00961304,44.4857,0.0303619,0.00979004,0.00961304,37.8064,0.0153412,0.00975342,0.00961304,35.1415,0.012561,0.00979919,0.00961304,32.5134,0.0098175,0.00976257,0.00961304,31.1821,0.00904541,0.00975342,0.00961304,29.8235,0.00842285,0.00975647,0.00961304,28.491,0.00831604,0.00976257,0.00961304,24.4877,0.00576172,0.00976563,0.00961304,20.4933,0.0016571,0.00977478,0.00961304,19.7569,0.00161438,0.00976563,0.00961304,53.9015,0.00195526,0.00978088
9,0.0106812,56.7311,0.0743713,0.0108307,0.0106812,53.0333,0.105591,0.0107971,0.0106812,44.4893,0.0302277,0.0108276,0.0106812,37.8099,0.0154541,0.0108154,0.0106812,35.1451,0.0126709,0.0108154,0.0106812,32.517,0.00993652,0.0108154,0.0106812,31.1856,0.00905762,0.0108337,0.0106812,29.8271,0.00849609,0.0108063,0.0106812,28.4945,0.00831299,0.010849,0.0106812,24.4913,0.00577393,0.0108276,0.0106812,20.4969,0.00167542,0.0108093,0.0106812,19.7604,0.00167542,0.0108246,0.0106812,53.9229,0.00198242,0.0108368
