,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,E / V,e / (A s-1/2)
0,,,,,,,,-0.089386,-0.0214899
1,,,,,,,,-0.0904541,-0.0161894
2,,,,,,,,-0.0915527,-0.0109216
3,,,,,,,,-0.0926208,-0.00660517
4,,,,,,,,-0.0936279,-0.00420921
5,,,,,,,,-0.0947571,-0.00472564
6,,,,,,,,-0.0959167,-0.00439914
7,,,,,,,,-0.0969238,-0.00407005
8,,,,,,,,-0.0979614,-0.00378782
9,,,,,,,,-0.0990601,-0.00356303
10,,,,,,,,-0.100067,-0.00336437
11,,,,,,,,-0.101135,-0.00318617
12,,,,,,,,-0.102142,-0.0030364
13,,,,,,,,-0.103271,-0.00291149
14,,,,,,,,-0.104309,-0.00279368
15,,,,,,,,-0.105438,-0.00267381
16,,,,,,,,-0.106476,-0.0025803
17,,,,,,,,-0.107513,-0.00250892
18,,,,,,,,-0.108582,-0.00241854
19,,,,,,,,-0.109711,-0.0023301
20,,,,,,,,-0.110779,-0.00227138
21,,,,,,,,-0.111847,-0.00221202
22,,,,,,,,-0.112854,-0.00213365
23,,,,,,,,-0.113861,-0.00206701
24,,,,,,,,-0.11496,-0.00203077
25,,,,,,,,-0.116058,-0.00199057
26,,,,,,,,-0.117157,-0.00192567
27,,,,,,,,-0.118225,-0.00187267
28,,,,,,,,-0.119232,-0.00184162
29,,,,,,,,-0.120361,-0.00180073
30,,,,,,,,-0.121399,-0.0017468
31,,,,,,,,-0.122467,-0.00171251
32,,,,,,,,-0.123535,-0.00168884
33,,,,,,,,-0.124664,-0.00165448
34,,,,,,,,-0.125732,-0.00161931
35,,,,,,,,-0.12674,-0.00158428
36,,,,,,,,-0.127747,-0.00155366
37,,,,,,,,-0.128937,-0.00152953
38,,,,,,,,-0.129944,-0.00150001
39,,,,,,,,-0.131012,-0.00146861
40,,,,,,,,-0.13205,-0.0014431
41,,,,,,,,-0.133179,-0.00141984
42,,,,,,,,-0.134155,-0.00139402
43,,,,,,,,-0.135254,-0.00136583
44,,,,,,,,-0.136292,-0.001343
45,,,,,,,,-0.13739,-0.00132555
46,,,,,,,,-0.138458,-0.00130264
47,,,,,,,,-0.139557,-0.00127614
48,,,,,,,,-0.140594,-0.00125604
49,,,,,,,,-0.141663,-0.00123941
50,,,,,,,,-0.142822,-0.00121781
51,,,,,,,,-0.143829,-0.00119513
52,,,,,,,,-0.144897,-0.00117762
53,,,,,,,,-0.145966,-0.00116175
54,,,,,,,,-0.147034,-0.00114166
55,,,,,,,,-0.148071,-0.00112224
56,,,,,,,,-0.14917,-0.0011079
57,,,,,,,,-0.150177,-0.00109417
58,,,,,,,,-0.151306,-0.00107779
59,,,,,,,,-0.152313,-0.00106251
60,,,,,,,,-0.153442,-0.00104998
61,,,,,,,,-0.154449,-0.00103415
62,,,,,,,,-0.155548,-0.00102133
63,,,,,,,,-0.156616,-0.0010139
64,,,,,,,,-0.157684,-0.000997426
65,,,,,,,,-0.158752,-0.000977509
66,,,,,,,,-0.159821,-0.000968746
67,,,,,,,,-0.160919,-0.000958075
68,,,,,,,,-0.161926,-0.000936898
69,,,,,,,,-0.162933,-0.000922363
70,,,,,,,,-0.164093,-0.000919414
71,,,,,,,,-0.165131,-0.000910149
72,,,,,,,,-0.166168,-0.000891117
73,,,,,,,,-0.167267,-0.000879656
74,,,,,,,,-0.168365,-0.000876157
75,,,,,,,,-0.169434,-0.000865232
76,,,,,,,,-0.170502,-0.000850954
77,,,,,,,,-0.171509,-0.000846809
78,,,,,,,,-0.172577,-0.000841013
79,,,,,,,,-0.173645,-0.000825891
80,,,,,,,,-0.174744,-0.000816071
81,,,,,,,,-0.175842,-0.000809216
82,,,,,,,,-0.176849,-0.000797317
83,,,,,,,,-0.177917,-0.000787956
84,,,,,,,,-0.179016,-0.00078333
85,,,,,,,,-0.180023,-0.000776215
86,,,,,,,,-0.181091,-0.000764316
87,,,,,,,,-0.18219,-0.000754499
88,,,,,,,,-0.183289,-0.000749053
89,,,,,,,,-0.184357,-0.000741467
90,,,,,,,,-0.185364,-0.00073256
91,,,,,,,,-0.186462,-0.000727344
92,,,,,,,,-0.187531,-0.000723834
93,,,,,,,,-0.188568,-0.000717976
94,,,,,,,,-0.189636,-0.000709276
95,,,,,,,,-0.190735,-0.000702941
96,,,,,,,,-0.191772,-0.000699346
97,,,,,,,,-0.192841,-0.000692871
98,,,,,,,,-0.193939,-0.000683811
99,,,,,,,,-0.195007,-0.000676385
100,,,,,,,,-0.196075,-0.000671559
101,,,,,,,,-0.197174,-0.000667473
102,,,,,,,,-0.198181,-0.000661787
103,,,,,,,,-0.19931,-0.000656931
104,,,,,,,,-0.200317,-0.000655761
105,,,,,,,,-0.201416,-0.000652846
106,,,,,,,,-0.202545,-0.000644996
107,,,,,,,,-0.203461,-0.000638241
108,,,,,,,,-0.204559,-0.000635369
109,,,,,,,,-0.205658,-0.000635467
110,,,,,,,,-0.206757,-0.000628693
111,,,,,,,,-0.207794,-0.000616645
112,,,,,,,,-0.208893,-0.000616619
113,,,,,,,,-0.209961,-0.000617412
114,,,,,,,,-0.210938,-0.000607586
115,,,,,,,,-0.212067,-0.000603328
116,,,,,,,,-0.213196,-0.000608398
117,,,,,,,,-0.214142,-0.000609157
118,,,,,,,,-0.215271,-0.000601537
119,,,,,,,,-0.216278,-0.000595959
120,,,,,,,,-0.217407,-0.000599006
121,,,,,,,,-0.218445,-0.000598376
122,,,,,,,,-0.219482,-0.00059054
123,,,,,,,,-0.220612,-0.000588965
124,,,,,,,,-0.22171,-0.000591632
125,,,,,,,,-0.222748,-0.000586879
126,,,,,,,,-0.223724,-0.000581898
127,,,,,,,,-0.224823,-0.000580988
128,,,,,,,,-0.225891,-0.000579113
129,,,,,,,,-0.22699,-0.000577004
130,,,,,,,,-0.228027,-0.000575661
131,,,,,,,,-0.229126,-0.00057577
132,,,,,,,,-0.230194,-0.000576919
133,,,,,,,,-0.231262,-0.000576819
134,,,,,,,,-0.232361,-0.000573969
135,,,,,,,,-0.233368,-0.0005725
136,,,,,,,,-0.234375,-0.000573369
137,,,,,,,,-0.235504,-0.000572285
138,,,,,,,,-0.236542,-0.000570986
139,,,,,,,,-0.23764,-0.00057139
140,,,,,,,,-0.238739,-0.000574015
141,,,,,,,,-0.239777,-0.000575403
142,,,,,,,,-0.240845,-0.000573244
143,,,,,,,,-0.241882,-0.000573491
144,,,,,,,,-0.24295,-0.000576991
145,,,,,,,,-0.244019,-0.000578123
146,,,,,,,,-0.245087,-0.000577501
147,,,,,,,,-0.246124,-0.000579278
148,,,,,,,,-0.247223,-0.00058325
149,,,,,,,,-0.248291,-0.000585164
150,,,,,,,,-0.249329,-0.000585157
151,,,,,,,,-0.250397,-0.000586931
