,Corrected Time / s,Time / s,Current / A,Potential / V,Scan,Index
0,0.00106812,30.8873,0.186493,0.00120544,2,7119
1,0.00213623,30.8909,0.186279,0.00224915,2,7120
2,0.00320435,30.8944,0.186035,0.00331726,2,7121
3,0.00427246,30.898,0.18576,0.00439148,2,7122
4,0.00534058,30.9016,0.185486,0.00548401,2,7123
5,0.00640869,30.9051,0.185272,0.00654297,2,7124
6,0.00747681,30.9087,0.185059,0.00761414,2,7125
7,0.00854492,30.9122,0.184845,0.00865173,2,7126
8,0.00961304,30.9158,0.184631,0.00974731,2,7127
9,0.0106812,30.9194,0.184357,0.0108124,2,7128
10,0.0117493,30.9229,0.184204,0.0118652,2,7129
11,0.0128174,30.9265,0.183929,0.0129456,2,7130
12,0.0138855,30.93,0.183777,0.0140259,2,7131
13,0.0149536,30.9336,0.183563,0.0150818,2,7132
14,0.0160217,30.9372,0.18335,0.0161469,2,7133
15,0.0170898,30.9407,0.183105,0.017215,2,7134
16,0.018158,30.9443,0.182983,0.01828,2,7135
17,0.0192261,30.9478,0.182709,0.0193451,2,7136
18,0.0202942,30.9514,0.182526,0.020401,2,7137
19,0.0213623,30.955,0.18222,0.0214722,2,7138
20,0.0224304,30.9585,0.182037,0.0225403,2,7139
21,0.0234985,30.9621,0.181732,0.0236237,2,7140
22,0.0245667,30.9656,0.18158,0.0246918,2,7141
23,0.0256348,30.9692,0.181305,0.0257385,2,7142
24,0.0267029,30.9728,0.181152,0.0268097,2,7143
25,0.027771,30.9763,0.180908,0.02789,2,7144
26,0.0288391,30.9799,0.180664,0.0289703,2,7145
27,0.0299072,30.9834,0.180359,0.0300201,2,7146
28,0.0309753,30.987,0.180176,0.0310699,2,7147
29,0.0320435,30.9906,0.179901,0.0321594,2,7148
30,0.0331116,30.9941,0.179779,0.0332306,2,7149
31,0.0341797,30.9977,0.179565,0.0342834,2,7150
32,0.0352478,31.0012,0.179535,0.0353455,2,7151
33,0.0363159,31.0048,0.179352,0.0364075,2,7152
34,0.037384,31.0084,0.179108,0.0375092,2,7153
35,0.0384521,31.0119,0.178894,0.0385437,2,7154
36,0.0395203,31.0155,0.17868,0.039624,2,7155
37,0.0405884,31.019,0.178406,0.0406982,2,7156
38,0.0416565,31.0226,0.178223,0.0417633,2,7157
39,0.0427246,31.0262,0.17807,0.0428253,2,7158
40,0.0437927,31.0297,0.177917,0.0439178,2,7159
41,0.0448608,31.0333,0.177704,0.0449524,2,7160
42,0.045929,31.0368,0.177521,0.0460175,2,7161
43,0.0469971,31.0404,0.177277,0.0471222,2,7162
44,0.0480652,31.044,0.177185,0.0481628,2,7163
45,0.0491333,31.0475,0.17691,0.0492371,2,7164
46,0.0502014,31.0511,0.176727,0.0502014,2,7165
47,0.0512695,31.0546,0.176422,0.0513306,2,7166
48,0.0523376,31.0582,0.176208,0.0524292,2,7167
49,0.0534058,31.0618,0.175995,0.0534363,2,7168
50,0.0544739,31.0653,0.175873,0.0545044,2,7169
51,0.055542,31.0689,0.175629,0.055542,2,7170
52,0.0566101,31.0724,0.175415,0.0565796,2,7171
53,0.0576782,31.076,0.175201,0.0577393,2,7172
54,0.0587463,31.0796,0.17511,0.0587463,2,7173
55,0.0598145,31.0831,0.174896,0.0598145,2,7174
56,0.0608826,31.0867,0.174774,0.0608826,2,7175
57,0.0619507,31.0902,0.174591,0.0619812,2,7176
58,0.0630188,31.0938,0.174438,0.0629883,2,7177
59,0.0640869,31.0974,0.174255,0.0641479,2,7178
60,0.065155,31.1009,0.174164,0.0652161,2,7179
61,0.0662231,31.1045,0.173889,0.0662537,2,7180
62,0.0672913,31.108,0.173767,0.0673523,2,7181
63,0.0683594,31.1116,0.173523,0.0683594,2,7182
64,0.0694275,31.1152,0.17337,0.0694885,2,7183
65,0.0704956,31.1187,0.173065,0.0704651,2,7184
66,0.0715637,31.1223,0.172943,0.0715942,2,7185
67,0.0726318,31.1258,0.17276,0.0726929,2,7186
68,0.0737,31.1294,0.172607,0.0737305,2,7187
69,0.0747681,31.133,0.172546,0.0747986,2,7188
70,0.0758362,31.1365,0.172333,0.0758362,2,7189
71,0.0769043,31.1401,0.17218,0.0769958,2,7190
72,0.0779724,31.1436,0.172058,0.0779419,2,7191
73,0.0790405,31.1472,0.171814,0.07901,2,7192
74,0.0801086,31.1508,0.171722,0.0801392,2,7193
75,0.0811768,31.1543,0.171417,0.0811768,2,7194
76,0.0822449,31.1579,0.171295,0.0822754,2,7195
77,0.083313,31.1614,0.171204,0.083313,2,7196
78,0.0843811,31.165,0.171021,0.0844116,2,7197
79,0.0854492,31.1686,0.170929,0.0855103,2,7198
80,0.0865173,31.1721,0.170715,0.0865479,2,7199
81,0.0875854,31.1757,0.170593,0.0875854,2,7200
82,0.0886536,31.1792,0.170532,0.0887146,2,7201
83,0.0897217,31.1828,0.170441,0.0898132,2,7202
84,0.0907898,31.1864,0.170227,0.0908508,2,7203
85,0.0918579,31.1899,0.170105,0.0918884,2,7204
86,0.092926,31.1935,0.170105,0.092926,2,7205
87,0.0939941,31.197,0.169983,0.0939941,2,7206
88,0.0950623,31.2006,0.16983,0.0950623,2,7207
89,0.0961304,31.2042,0.169708,0.0961304,2,7208
90,0.0971985,31.2077,0.169617,0.0971985,2,7209
91,0.0982666,31.2113,0.169556,0.0982666,2,7210
92,0.0993347,31.2148,0.169464,0.0993347,2,7211
93,0.100403,31.2184,0.169312,0.100464,2,7212
94,0.101471,31.222,0.16922,0.10144,2,7213
95,0.102539,31.2255,0.169037,0.102509,2,7214
96,0.103607,31.2291,0.168945,0.103607,2,7215
97,0.104675,31.2326,0.168854,0.104614,2,7216
98,0.105743,31.2362,0.168732,0.105774,2,7217
99,0.106812,31.2398,0.16864,0.106842,2,7218
100,0.10788,31.2433,0.168579,0.10791,2,7219
101,0.108948,31.2469,0.168304,0.108887,2,7220
102,0.110016,31.2504,0.168182,0.109985,2,7221
103,0.111084,31.254,0.16806,0.111084,2,7222
104,0.112152,31.2576,0.16803,0.112061,2,7223
105,0.11322,31.2611,0.16803,0.113251,2,7224
106,0.114288,31.2647,0.167816,0.114288,2,7225
107,0.115356,31.2682,0.167755,0.115356,2,7226
108,0.116425,31.2718,0.167664,0.116333,2,7227
109,0.117493,31.2754,0.167725,0.117493,2,7228
110,0.118561,31.2789,0.167603,0.118622,2,7229
111,0.119629,31.2825,0.167542,0.119598,2,7230
112,0.120697,31.286,0.167419,0.120697,2,7231
113,0.121765,31.2896,0.16745,0.121765,2,7232
114,0.122833,31.2932,0.167419,0.122803,2,7233
115,0.123901,31.2967,0.167358,0.123932,2,7234
116,0.124969,31.3003,0.167297,0.125,2,7235
117,0.126038,31.3038,0.167236,0.126038,2,7236
118,0.127106,31.3074,0.167145,0.127106,2,7237
119,0.128174,31.311,0.167145,0.128143,2,7238
120,0.129242,31.3145,0.167084,0.129242,2,7239
121,0.13031,31.3181,0.167053,0.13031,2,7240
122,0.131378,31.3216,0.166779,0.131378,2,7241
123,0.132446,31.3252,0.166229,0.132355,2,7242
124,0.133514,31.3288,0.166351,0.133514,2,7243
125,0.134583,31.3323,0.166412,0.134552,2,7244
126,0.135651,31.3359,0.166321,0.135651,2,7245
127,0.136719,31.3394,0.166199,0.136719,2,7246
128,0.137787,31.343,0.166046,0.137756,2,7247
129,0.138855,31.3466,0.166046,0.138885,2,7248
